RegisterIndex,Bank,Register,TouchCount,CurrentBaselineClass,CurrentBaselineValue,RecoveryClass,RecoveryAction,ReadAuthority,ProductReconstructionAuthority,FinalDisposition,UnresolvedReason
22,0x05,0x25,1,KNOWN_FINAL_VALUE,0xCA,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0xCA and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
23,0x05,0x26,1,KNOWN_FINAL_VALUE,0x30,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
24,0x05,0x29,1,KNOWN_FINAL_VALUE,0x30,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
25,0x05,0x2A,1,KNOWN_FINAL_VALUE,0x30,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
26,0x05,0x58,1,KNOWN_FINAL_VALUE,0x00,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
27,0x05,0x59,1,KNOWN_FINAL_VALUE,0x00,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
28,0x05,0x5F,1,KNOWN_FINAL_VALUE,0x70,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x70 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
29,0x05,0x6E,1,KNOWN_FINAL_VALUE,0x00,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
30,0x05,0x6F,1,KNOWN_FINAL_VALUE,0x00,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
31,0x05,0x75,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
32,0x05,0x76,1,KNOWN_FINAL_VALUE,0x01,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x01 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
33,0x05,0x84,1,KNOWN_FINAL_VALUE,0x00,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
34,0x05,0x86,1,KNOWN_FINAL_VALUE,0x00,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
35,0x05,0x90,1,KNOWN_FINAL_VALUE,0x0D,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x0D and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
36,0x05,0xB8,1,KNOWN_FINAL_VALUE,0xB8,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0xB8 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
37,0x05,0xBB,1,KNOWN_FINAL_VALUE,0xB8,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0xB8 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
38,0x05,0xC0,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
39,0x05,0xC1,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
40,0x05,0xD4,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
41,0x09,0x40,2,KNOWN_FINAL_VALUE,0x00,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
42,0x09,0x64,1,KNOWN_FINAL_VALUE,0x98,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x98 and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
43,0x09,0x6B,1,KNOWN_FINAL_VALUE,0xFF,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0xFF and require ACK/NACK_error=0,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,NOT_REQUIRED_FOR_KNOWN_WRITTEN_BASELINE,AUTHORIZED,
44,0x09,0x6C,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
45,0x0A,0x60,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
46,0x0A,0x61,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
47,0x0A,0x62,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
48,0x0A,0x63,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
49,0x0A,0x64,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
50,0x0A,0x65,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
51,0x0A,0x66,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
52,0x0A,0x67,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
53,0x0A,0x68,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
54,0x0A,0x69,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
55,0x0A,0x6A,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
56,0x0A,0x6B,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
57,0x0A,0x6C,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
58,0x0A,0x6D,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
59,0x0A,0x6E,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
60,0x0A,0x6F,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
61,0x0A,0x70,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
62,0x0A,0x71,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
63,0x0A,0x72,1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,PROHIBITED_UNRESOLVED,none; fail closed,NO_SAFE_READ_AUTHORITY_FOR_THIS_MINIMUM_REGISTER,FAIL,BLOCKED,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
