ReferenceOrder,OperationID,Phase,OperationType,Bank,Register,DifferentialClass,Justification
19,REF-019,COMMON,WRITE,0x05,0x58,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
20,REF-020,COMMON,WRITE,0x05,0x59,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
21,REF-021,COMMON,WRITE,0x05,0xB8,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
22,REF-022,COMMON,WRITE,0x05,0xC8,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
23,REF-023,COMMON,BANK_SELECT,0x05,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
24,REF-024,COMMON,WRITE,0x0A,0x74,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
27,REF-027,COMMON,WRITE,0x09,0x6A,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
30,REF-030,COMMON,BANK_SELECT,0x09,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
31,REF-031,COMMON,WRITE,0x09,0x80,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
32,REF-032,COMMON,WRITE,0x09,0x81,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
53,REF-053,FHD_COMMON,BANK_SELECT,0x0A,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
54,REF-054,FHD_COMMON,WRITE,0x00,0x00,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
56,REF-056,FHD_COMMON,WRITE,0x05,0x00,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
58,REF-058,FHD_COMMON,WRITE,0x05,0x58,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
59,REF-059,FHD_COMMON,WRITE,0x05,0x59,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
60,REF-060,FHD_COMMON,WRITE,0x05,0x5B,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
61,REF-061,FHD_COMMON,WRITE,0x05,0x69,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
63,REF-063,FHD_COMMON,WRITE,0x00,0x0C,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
64,REF-064,FHD_COMMON,WRITE,0x00,0x10,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
65,REF-065,FHD_COMMON,WRITE,0x00,0x14,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
66,REF-066,FHD_COMMON,WRITE,0x00,0x18,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
69,REF-069,FHD_COMMON,WRITE,0x00,0x3C,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
70,REF-070,FHD_COMMON,WRITE,0x00,0x44,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
71,REF-071,FHD_COMMON,WRITE,0x00,0x48,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
72,REF-072,FHD_COMMON,WRITE,0x00,0x4C,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
73,REF-073,FHD_COMMON,WRITE,0x00,0x50,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
75,REF-075,FHD_COMMON,WRITE,0x05,0x1B,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
76,REF-076,FHD_COMMON,WRITE,0x05,0x20,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
77,REF-077,FHD_COMMON,WRITE,0x05,0x26,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
78,REF-078,FHD_COMMON,WRITE,0x05,0x27,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
79,REF-079,FHD_COMMON,WRITE,0x05,0x29,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
81,REF-081,FHD_COMMON,WRITE,0x05,0x57,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
82,REF-082,FHD_COMMON,WRITE,0x05,0x5F,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
83,REF-083,FHD_COMMON,WRITE,0x05,0x90,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
84,REF-084,FHD_COMMON,WRITE,0x05,0x2B,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
85,REF-085,FHD_COMMON,WRITE,0x05,0xD1,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
87,REF-087,FHD_COMMON,WRITE,0x05,0xB8,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
88,REF-088,FHD_COMMON,BANK_SELECT,0x05,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
89,REF-089,FHD_COMMON,WRITE,0x00,0x64,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
90,REF-090,FHD_COMMON,BANK_SELECT,0x00,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
93,REF-093,FHD_COMMON,BANK_SELECT,0x05,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
94,REF-094,FHD_COMMON,READ_FOR_RMW,0x01,0xED,NO_OP_AGAINST_CURRENT_BASELINE,paired masked clear is unnecessary against the proven current byte
95,REF-095,FHD_COMMON,RMW_CLEAR_CHANNEL_BIT,0x01,0xED,NO_OP_AGAINST_CURRENT_BASELINE,owned bit 0 is already clear; preserved bits remain untouched
101,REF-101,FHD_COMMON,WRITE,0x02,0x2B,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
103,REF-103,FHD_COMMON,BANK_SELECT,0x02,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
104,REF-104,FHD_COMMON,WRITE,0x09,0x40,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
105,REF-105,FHD_COMMON,READ_FOR_RMW,0x09,0x44,NO_OP_AGAINST_CURRENT_BASELINE,paired masked clear is unnecessary against the proven current byte
106,REF-106,FHD_COMMON,RMW_CLEAR_CHANNEL_BIT,0x09,0x44,NO_OP_AGAINST_CURRENT_BASELINE,owned bit 0 is already clear; preserved bits remain untouched
107,REF-107,FHD_COMMON,WRITE,0x09,0x97,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
108,REF-108,FHD_COMMON,BANK_SELECT,0x09,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
109,REF-109,FHD_COMMON,WRITE,0x11,0x00,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
110,REF-110,AHD1080P25,BANK_SELECT,0x11,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
111,REF-111,AHD1080P25,WRITE,0x01,0x84,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
112,REF-112,AHD1080P25,WRITE,0x01,0x8C,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
115,REF-115,AHD1080P25,WRITE,0x00,0x08,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
116,REF-116,AHD1080P25,WRITE,0x00,0x40,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
117,REF-117,AHD1080P25,WRITE,0x00,0x81,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
118,REF-118,AHD1080P25,WRITE,0x00,0x85,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
119,REF-119,AHD1080P25,BANK_SELECT,0x00,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
120,REF-120,AHD1080P25,WRITE,0x05,0x47,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
121,REF-121,AHD1080P25,WRITE,0x05,0x50,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
122,REF-122,AHD1080P25,BANK_SELECT,0x05,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
123,REF-123,AHD1080P25,WRITE,0x00,0x30,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
127,REF-127,AHD1080P25,WRITE,0x00,0x89,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
130,REF-130,AHD1080P25,WRITE,0x00,0xA4,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
131,REF-131,AHD1080P25,BANK_SELECT,0x00,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
132,REF-132,AHD1080P25,WRITE,0x09,0x97,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
133,REF-133,AHD1080P25,WRITE,0x09,0x98,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
134,REF-134,AHD1080P25,WRITE,0x09,0x99,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
138,REF-138,AHD1080P25,WRITE,0x05,0x24,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
149,REF-149,AHD1080P25,WRITE,0x05,0x9B,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
150,REF-150,AHD1080P25,WRITE,0x05,0xB5,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
151,REF-151,AHD1080P25,WRITE,0x05,0xB7,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
154,REF-154,AHD1080P25,WRITE,0x05,0xD1,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
155,REF-155,AHD1080P25,BANK_SELECT,0x05,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
156,REF-156,AHD1080P25,WRITE,0x09,0x50,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
157,REF-157,AHD1080P25,WRITE,0x09,0x51,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
158,REF-158,AHD1080P25,WRITE,0x09,0x52,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
159,REF-159,AHD1080P25,WRITE,0x09,0x53,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
160,REF-160,STATE,STATE_ASSIGN,0x09,ch_mode_status[CH_LOCAL],SOFTWARE_STATE_ONLY,executor session bookkeeping is not an NVP register action
161,REF-161,STATE,STATE_ASSIGN,0x09,ch_vfmt_status[CH_LOCAL],SOFTWARE_STATE_ONLY,executor session bookkeeping is not an NVP register action
162,REF-162,ACP_COMMON,BANK_SELECT,0x09,0xFF,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
163,REF-163,ACP_COMMON,WRITE,0x01,0xA8,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
164,REF-164,ACP_COMMON,WRITE,0x01,0xBC,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
165,REF-165,ACP_COMMON,BANK_SELECT,0x01,0xFF,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
166,REF-166,ACP_COMMON,WRITE,0x05,0x2F,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
167,REF-167,ACP_COMMON,WRITE,0x05,0x30,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
168,REF-168,ACP_COMMON,WRITE,0x05,0x31,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
169,REF-169,ACP_COMMON,WRITE,0x05,0x32,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
170,REF-170,ACP_COMMON,WRITE,0x05,0x7C,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
171,REF-171,ACP_COMMON,WRITE,0x05,0x7D,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
172,REF-172,ACP_BAUD,BANK_SELECT,0x05,0xFF,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
173,REF-173,ACP_BAUD,WRITE,0x05,0x7C,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
174,REF-174,ACP_BAUD,BANK_SELECT,0x05,0xFF,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
175,REF-175,ACP_BAUD,WRITE,0x03,0x00,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
176,REF-176,ACP_BAUD,WRITE,0x03,0x03,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
177,REF-177,ACP_BAUD,WRITE,0x03,0x0D,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
178,REF-178,ACP_BAUD,WRITE,0x03,0x0E,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
179,REF-179,ACP_BAUD,WRITE,0x03,0x05,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
180,REF-180,ACP_BAUD,WRITE,0x03,0x0A,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
181,REF-181,ACP_BAUD,WRITE,0x03,0x0B,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
182,REF-182,ACP_BAUD,WRITE,0x03,0x2F,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
183,REF-183,ACP_RX,BANK_SELECT,0x03,0xFF,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
184,REF-184,ACP_RX,WRITE,0x03,0x60,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
185,REF-185,ACP_RX,WRITE,0x03,0x0B,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
186,REF-186,ACP_RX,WRITE,0x03,0x66,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
187,REF-187,ACP_RX,WRITE,0x03,0x62,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
188,REF-188,ACP_RX,WRITE,0x03,0x68,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
189,REF-189,ACP_RX,WRITE,0x03,0x63,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
190,REF-190,ACP_RX,WRITE,0x03,0x64,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
191,REF-191,ACP_RX,WRITE,0x03,0x67,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
192,REF-192,ACP_RX_CLEAR,BANK_SELECT,0x03,0xFF,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
193,REF-193,ACP_RX_CLEAR,WRITE,0x03,0x3A,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
194,REF-194,ACP_RX_CLEAR,DELAY,0x03,N/A,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
195,REF-195,ACP_RX_CLEAR,WRITE,0x03,0x3A,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
196,REF-196,ACP_RX_CLEAR,DELAY,0x03,N/A,OPTIONAL_ACP,"datasheet defines ACP as coax camera-control signaling, not video reception"
197,REF-197,EQ_INIT,BANK_SELECT,0x03,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
199,REF-199,EQ_INIT,BANK_SELECT,0x05,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
202,REF-202,EQ_INIT,WRITE,0x05,0xC8,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
203,REF-203,EQ_INIT,BANK_SELECT,0x05,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
204,REF-204,EQ_INIT,WRITE,0x0A,0x74,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
205,REF-205,EQ_INIT,STATE_ASSIGN,0x0A,s_eq.ch_stage[CH_LOCAL],SOFTWARE_STATE_ONLY,executor session bookkeeping is not an NVP register action
210,REF-210,POST_MODE,BANK_SELECT,0x09,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
211,REF-211,POST_MODE,WRITE,0x00,0x00,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
