Step,Layer,OperationType,Bank,Register,Value,Mask,Condition,DelayMs,SourcePath,SourceLine,FinalFieldClass,Note
31,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x81,0x00,0xFF,stage2 slot 26,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,259,KNOWN_FINAL_VALUE,enabled stage-2 source table word
32,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x00,0x00,0xFF,stage2 slot 27,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,260,KNOWN_FINAL_VALUE,enabled stage-2 source table word
33,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x00,0xC0,0xFF,stage2 slot 28,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,261,KNOWN_FINAL_VALUE,enabled stage-2 source table word
34,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x01,0x00,0xFF,stage2 slot 29,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,262,KNOWN_FINAL_VALUE,enabled stage-2 source table word
35,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x58,0x00,0xFF,stage2 slot 30,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,263,KNOWN_FINAL_VALUE,enabled stage-2 source table word
36,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x59,0x00,0xFF,stage2 slot 31,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,264,KNOWN_FINAL_VALUE,enabled stage-2 source table word
37,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x5B,0x03,0xFF,stage2 slot 32,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,265,KNOWN_FINAL_VALUE,enabled stage-2 source table word
38,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x08,0xDD,0xFF,stage2 slot 33,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,266,KNOWN_FINAL_VALUE,enabled stage-2 source table word
39,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x0C,0x08,0xFF,stage2 slot 34,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,267,KNOWN_FINAL_VALUE,enabled stage-2 source table word
40,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x10,0x88,0xFF,stage2 slot 35,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,268,KNOWN_FINAL_VALUE,enabled stage-2 source table word
41,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x14,0x90,0xFF,stage2 slot 36,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,269,KNOWN_FINAL_VALUE,enabled stage-2 source table word
42,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x18,0x08,0xFF,stage2 slot 37,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,270,KNOWN_FINAL_VALUE,enabled stage-2 source table word
43,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x21,0x02,0xFF,stage2 slot 38,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,271,KNOWN_FINAL_VALUE,enabled stage-2 source table word
44,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x3C,0x84,0xFF,stage2 slot 39,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,272,KNOWN_FINAL_VALUE,enabled stage-2 source table word
45,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x44,0x00,0xFF,stage2 slot 40,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,273,KNOWN_FINAL_VALUE,enabled stage-2 source table word
46,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x48,0x00,0xFF,stage2 slot 41,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,274,KNOWN_FINAL_VALUE,enabled stage-2 source table word
47,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x4C,0x00,0xFF,stage2 slot 42,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,275,KNOWN_FINAL_VALUE,enabled stage-2 source table word
48,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x50,0x00,0xFF,stage2 slot 43,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,276,KNOWN_FINAL_VALUE,enabled stage-2 source table word
49,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x01,0xED,0x00,0xFF,stage2 slot 44,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,277,KNOWN_FINAL_VALUE,enabled stage-2 source table word
50,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x69,0x00,0xFF,stage2 slot 45,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,278,KNOWN_FINAL_VALUE,enabled stage-2 source table word
51,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x47,0x04,0xFF,stage2 slot 46,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,279,KNOWN_FINAL_VALUE,enabled stage-2 source table word
52,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x50,0x84,0xFF,stage2 slot 47,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,280,KNOWN_FINAL_VALUE,enabled stage-2 source table word
53,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x84,0x00,0xFF,stage2 slot 48,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,281,KNOWN_FINAL_VALUE,enabled stage-2 source table word
54,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x86,0x00,0xFF,stage2 slot 49,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,282,KNOWN_FINAL_VALUE,enabled stage-2 source table word
55,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0xD1,0x10,0xFF,stage2 slot 50,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,283,KNOWN_FINAL_VALUE,enabled stage-2 source table word
56,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x57,0x00,0xFF,stage2 slot 51,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,284,KNOWN_FINAL_VALUE,enabled stage-2 source table word
57,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x90,0x01,0xFF,stage2 slot 52,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,285,KNOWN_FINAL_VALUE,enabled stage-2 source table word
58,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x08,0x70,0xFF,stage2 slot 53,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,286,KNOWN_FINAL_VALUE,enabled stage-2 source table word
59,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x11,0x04,0xFF,stage2 slot 54,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,287,KNOWN_FINAL_VALUE,enabled stage-2 source table word
60,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x1B,0x20,0xFF,stage2 slot 55,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,288,KNOWN_FINAL_VALUE,enabled stage-2 source table word
61,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x24,0x10,0xFF,stage2 slot 56,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,289,KNOWN_FINAL_VALUE,enabled stage-2 source table word
62,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x25,0xCA,0xFF,stage2 slot 57,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,290,KNOWN_FINAL_VALUE,enabled stage-2 source table word
63,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x26,0x30,0xFF,stage2 slot 58,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,291,KNOWN_FINAL_VALUE,enabled stage-2 source table word
64,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x29,0x30,0xFF,stage2 slot 59,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,292,KNOWN_FINAL_VALUE,enabled stage-2 source table word
65,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x2A,0x30,0xFF,stage2 slot 60,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,293,KNOWN_FINAL_VALUE,enabled stage-2 source table word
66,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x2B,0xA8,0xFF,stage2 slot 61,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,294,KNOWN_FINAL_VALUE,enabled stage-2 source table word
67,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x5F,0x70,0xFF,stage2 slot 62,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,295,KNOWN_FINAL_VALUE,enabled stage-2 source table word
68,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x56,0x00,0xFF,stage2 slot 63,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,296,KNOWN_FINAL_VALUE,enabled stage-2 source table word
69,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x90,0x0D,0xFF,stage2 slot 64,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,297,KNOWN_FINAL_VALUE,enabled stage-2 source table word
70,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x9B,0x80,0xFF,stage2 slot 65,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,298,KNOWN_FINAL_VALUE,enabled stage-2 source table word
71,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0xB5,0x00,0xFF,stage2 slot 66,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,299,KNOWN_FINAL_VALUE,enabled stage-2 source table word
72,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0xB7,0xFF,0xFF,stage2 slot 67,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,300,KNOWN_FINAL_VALUE,enabled stage-2 source table word
73,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0xB8,0xB8,0xFF,stage2 slot 68,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,301,KNOWN_FINAL_VALUE,enabled stage-2 source table word
74,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0xBB,0xB8,0xFF,stage2 slot 69,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,302,KNOWN_FINAL_VALUE,enabled stage-2 source table word
75,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0xD1,0x20,0xFF,stage2 slot 70,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,303,KNOWN_FINAL_VALUE,enabled stage-2 source table word
76,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x20,0x84,0xFF,stage2 slot 71,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,304,KNOWN_FINAL_VALUE,enabled stage-2 source table word
77,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x27,0x57,0xFF,stage2 slot 72,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,305,KNOWN_FINAL_VALUE,enabled stage-2 source table word
78,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x76,0x01,0xFF,stage2 slot 73,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,306,KNOWN_FINAL_VALUE,enabled stage-2 source table word
79,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x6E,0x00,0xFF,stage2 slot 74,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,307,KNOWN_FINAL_VALUE,enabled stage-2 source table word
80,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x6F,0x00,0xFF,stage2 slot 75,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,308,KNOWN_FINAL_VALUE,enabled stage-2 source table word
81,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x40,0x00,0xFF,stage2 slot 76,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,309,KNOWN_FINAL_VALUE,enabled stage-2 source table word
82,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x44,0x00,0xFF,stage2 slot 77,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,310,KNOWN_FINAL_VALUE,enabled stage-2 source table word
83,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x50,0xCB,0xFF,stage2 slot 78,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,311,KNOWN_FINAL_VALUE,enabled stage-2 source table word
84,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x51,0x8A,0xFF,stage2 slot 79,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,312,KNOWN_FINAL_VALUE,enabled stage-2 source table word
85,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x52,0x09,0xFF,stage2 slot 80,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,313,KNOWN_FINAL_VALUE,enabled stage-2 source table word
86,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x53,0x2A,0xFF,stage2 slot 81,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,314,KNOWN_FINAL_VALUE,enabled stage-2 source table word
87,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x97,0x00,0xFF,stage2 slot 82,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,315,KNOWN_FINAL_VALUE,enabled stage-2 source table word
88,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x98,0x00,0xFF,stage2 slot 83,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,316,KNOWN_FINAL_VALUE,enabled stage-2 source table word
89,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x09,0x99,0x00,0xFF,stage2 slot 84,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,317,KNOWN_FINAL_VALUE,enabled stage-2 source table word
90,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x02,0x03,0xFF,stage2 slot 85,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,318,KNOWN_FINAL_VALUE,enabled stage-2 source table word
91,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x28,0x01,0xFF,stage2 slot 86,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,319,KNOWN_FINAL_VALUE,enabled stage-2 source table word
92,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x29,0x3C,0xFF,stage2 slot 87,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,320,KNOWN_FINAL_VALUE,enabled stage-2 source table word
93,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x2A,0x0C,0xFF,stage2 slot 88,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,321,KNOWN_FINAL_VALUE,enabled stage-2 source table word
94,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x2B,0x06,0xFF,stage2 slot 89,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,322,KNOWN_FINAL_VALUE,enabled stage-2 source table word
95,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x2C,0x36,0xFF,stage2 slot 90,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,323,KNOWN_FINAL_VALUE,enabled stage-2 source table word
96,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x11,0x00,0x00,0xFF,stage2 slot 91,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,324,KNOWN_FINAL_VALUE,enabled stage-2 source table word
97,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x01,0x84,0x47,0xFF,stage2 slot 92,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,325,KNOWN_FINAL_VALUE,enabled stage-2 source table word
98,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x01,0x8C,0xA7,0xFF,stage2 slot 93,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,326,KNOWN_FINAL_VALUE,enabled stage-2 source table word
99,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x40,0x00,0xFF,stage2 slot 94,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,327,KNOWN_FINAL_VALUE,enabled stage-2 source table word
100,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x81,0x70,0xFF,stage2 slot 95,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,328,KNOWN_FINAL_VALUE,enabled stage-2 source table word
101,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x85,0x00,0xFF,stage2 slot 96,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,329,KNOWN_FINAL_VALUE,enabled stage-2 source table word
102,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x18,0x14,0xFF,stage2 slot 97,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,330,KNOWN_FINAL_VALUE,enabled stage-2 source table word
103,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x30,0x10,0xFF,stage2 slot 98,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,331,KNOWN_FINAL_VALUE,enabled stage-2 source table word
104,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x58,0x30,0xFF,stage2 slot 99,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,332,KNOWN_FINAL_VALUE,enabled stage-2 source table word
105,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x5C,0x1E,0xFF,stage2 slot 100,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,333,KNOWN_FINAL_VALUE,enabled stage-2 source table word
106,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x64,0x2D,0xFF,stage2 slot 101,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,334,KNOWN_FINAL_VALUE,enabled stage-2 source table word
107,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x89,0x10,0xFF,stage2 slot 102,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,335,KNOWN_FINAL_VALUE,enabled stage-2 source table word
108,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x8E,0x30,0xFF,stage2 slot 103,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,336,KNOWN_FINAL_VALUE,enabled stage-2 source table word
109,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0xA0,0x18,0xFF,stage2 slot 104,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,337,KNOWN_FINAL_VALUE,enabled stage-2 source table word
110,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0xA4,0x00,0xFF,stage2 slot 105,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,338,KNOWN_FINAL_VALUE,enabled stage-2 source table word
111,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x64,0x00,0xFF,stage2 slot 106,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,339,KNOWN_FINAL_VALUE,enabled stage-2 source table word
112,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x28,0x00,0xFF,stage2 slot 107,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,340,KNOWN_FINAL_VALUE,enabled stage-2 source table word
113,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x29,0x2D,0xFF,stage2 slot 108,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,341,KNOWN_FINAL_VALUE,enabled stage-2 source table word
