Bank,Register,CurrentBaselineClass,ExpectedBaselineValue,VerificationMethod,Authority,Result
0x05,0x05,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x05,0x08,KNOWN_FINAL_VALUE,0x70,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x0E,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x05,0x11,KNOWN_FINAL_VALUE,0x04,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x1B,KNOWN_FINAL_VALUE,0x20,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x20,KNOWN_FINAL_VALUE,0x84,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x25,KNOWN_FINAL_VALUE,0xCA,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x26,KNOWN_FINAL_VALUE,0x30,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x29,KNOWN_FINAL_VALUE,0x30,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x2A,KNOWN_FINAL_VALUE,0x30,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x58,KNOWN_FINAL_VALUE,0x00,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x59,KNOWN_FINAL_VALUE,0x00,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x5F,KNOWN_FINAL_VALUE,0x70,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x6E,KNOWN_FINAL_VALUE,0x00,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x6F,KNOWN_FINAL_VALUE,0x00,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x75,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x05,0x76,KNOWN_FINAL_VALUE,0x01,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x84,KNOWN_FINAL_VALUE,0x00,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x86,KNOWN_FINAL_VALUE,0x00,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x90,KNOWN_FINAL_VALUE,0x0D,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0xB8,KNOWN_FINAL_VALUE,0xB8,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0xBB,KNOWN_FINAL_VALUE,0xB8,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0xC0,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x05,0xC1,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x05,0xD4,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x09,0x40,KNOWN_FINAL_VALUE,0x00,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x09,0x64,KNOWN_FINAL_VALUE,0x98,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x09,0x6B,KNOWN_FINAL_VALUE,0xFF,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x09,0x6C,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x60,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x61,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x62,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x63,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x64,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x65,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x66,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x67,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x68,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x69,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x6A,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x6B,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x6C,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x6D,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x6E,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x6F,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x70,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x71,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x0A,0x72,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x00,0x78,KNOWN_FINAL_VALUE,0x88,existing scanner-visible config readback where manifested,CURRENT_V41_DIAGNOSTIC_OVERLAY,PASS
0x01,0xC2,KNOWN_FINAL_VALUE,0x00,existing scanner-visible config readback where manifested,CURRENT_V41_DIAGNOSTIC_OVERLAY,PASS
0x01,0xC8,KNOWN_FINAL_VALUE,0x00,existing scanner-visible config readback where manifested,CURRENT_V41_DIAGNOSTIC_OVERLAY,PASS
0x01,0xCA,KNOWN_FINAL_VALUE,0x22,existing scanner-visible config readback where manifested,CURRENT_V41_DIAGNOSTIC_OVERLAY,PASS
0x01,0xCD,KNOWN_FINAL_VALUE,0x4A,existing scanner-visible config readback where manifested,CURRENT_V41_DIAGNOSTIC_OVERLAY,PASS
0x00,0x08,KNOWN_FINAL_VALUE,0x00,existing scanner-visible config readback where manifested,CURRENT_V41_DIAGNOSTIC_OVERLAY,PASS
0x00,0x81,KNOWN_FINAL_VALUE,0x03,existing scanner-visible config readback where manifested,CURRENT_V41_DIAGNOSTIC_OVERLAY,PASS
