ReferenceOrder,OperationID,Phase,Category,OperationType,Bank,Register,Value,Mask,Condition,DelayMs,SemanticPurpose,Authority,SourceFunction,SourceLine,NVP6134CCompatibility
1,REF-001,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,UNKNOWN_ENTRY_BANK,0xFF,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2070,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
12,REF-012,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x05,0x24,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2084,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
13,REF-013,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x08,0x50,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2085,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
14,REF-014,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x0E,0x30,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2086,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
15,REF-015,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x11,0x06,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2087,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
16,REF-016,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x23,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2088,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
17,REF-017,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x2A,0x52,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2089,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
18,REF-018,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x0E,0x30,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2090,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
19,REF-019,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x58,0x02,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2091,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
20,REF-020,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x59,0x11,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2092,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
21,REF-021,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0xB8,0xB9,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2093,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
22,REF-022,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0xC8,0x04,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2096,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
23,REF-023,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x05,0xFF,0x0A,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2098,PROVEN_REGISTER_VALUE
24,REF-024,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x74,0x02,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2099,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
25,REF-025,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x0A,0xFF,0x09,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2102,PROVEN_REGISTER_VALUE
26,REF-026,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x09,0x64,0xB8,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2103,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
27,REF-027,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x09,0x6A,0x18,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2104,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
28,REF-028,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x09,0x6B,0x50,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2105,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
29,REF-029,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x09,0x6C,0xC0,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2106,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
30,REF-030,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x09,0xFF,0x09,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2110,PROVEN_REGISTER_VALUE
31,REF-031,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x09,0x80,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2111,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
32,REF-032,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x09,0x81,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2112,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
33,REF-033,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x09,0xFF,0x0A,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2114,PROVEN_REGISTER_VALUE
34,REF-034,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x60,0x02,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2115,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
35,REF-035,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x61,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2116,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
36,REF-036,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x62,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2117,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
37,REF-037,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x63,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2118,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
38,REF-038,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x64,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2119,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
39,REF-039,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x65,0xA0,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2120,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
40,REF-040,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x66,0x04,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2121,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
41,REF-041,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x67,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2122,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
42,REF-042,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x68,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2123,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
43,REF-043,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x69,0x0B,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2124,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
44,REF-044,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x6A,0x0A,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2125,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
45,REF-045,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x6B,0x11,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2126,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
46,REF-046,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x6C,0x0D,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2127,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
47,REF-047,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x6D,0x06,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2128,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
48,REF-048,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x6E,0x27,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2129,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
49,REF-049,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x6F,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2130,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
50,REF-050,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x70,0x4E,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2131,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
51,REF-051,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x71,0x6D,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2132,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
52,REF-052,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x0A,0x72,0x74,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2133,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
53,REF-053,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x0A,0xFF,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3392,PROVEN_REGISTER_VALUE
54,REF-054,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x00,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3393,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
55,REF-055,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x00,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3395,PROVEN_REGISTER_VALUE
56,REF-056,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x00,0xC0,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3396,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
57,REF-057,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x01,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3397,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
58,REF-058,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x58,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3398,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
59,REF-059,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x59,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3399,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
60,REF-060,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x5B,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3400,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
61,REF-061,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x69,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3401,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
62,REF-062,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x05,0xFF,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3404,PROVEN_REGISTER_VALUE
63,REF-063,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x0C,0x08,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3405,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
64,REF-064,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x10,0x88,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3406,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
65,REF-065,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x14,0x90,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3407,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
66,REF-066,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x18,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3408,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
67,REF-067,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x21,0x82,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3409,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
68,REF-068,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x22,0x0B,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3410,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
