ActionIndex,ReferenceOrder,ActionID,ActionType,Bank,Register,Value,Mask,DelayMs,Phase,DifferentialClass,SemanticPurpose,RecoveryClass,RecoveryAction,Authority,AuthorityBlocker
11,34,ACT-011,WRITE,0x0A,0x60,0x02,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2115; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
12,35,ACT-012,WRITE,0x0A,0x61,0x01,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2116; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
13,36,ACT-013,WRITE,0x0A,0x62,0x00,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2117; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
14,37,ACT-014,WRITE,0x0A,0x63,0x01,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2118; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
15,38,ACT-015,WRITE,0x0A,0x64,0x03,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2119; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
16,39,ACT-016,WRITE,0x0A,0x65,0xA0,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2120; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
17,40,ACT-017,WRITE,0x0A,0x66,0x04,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2121; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
18,41,ACT-018,WRITE,0x0A,0x67,0x03,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2122; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
19,42,ACT-019,WRITE,0x0A,0x68,0x03,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2123; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
20,43,ACT-020,WRITE,0x0A,0x69,0x0B,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2124; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
21,44,ACT-021,WRITE,0x0A,0x6A,0x0A,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2125; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
22,45,ACT-022,WRITE,0x0A,0x6B,0x11,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2126; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
23,46,ACT-023,WRITE,0x0A,0x6C,0x0D,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2127; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
24,47,ACT-024,WRITE,0x0A,0x6D,0x06,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2128; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
25,48,ACT-025,WRITE,0x0A,0x6E,0x27,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2129; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
26,49,ACT-026,WRITE,0x0A,0x6F,0x00,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2130; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
27,50,ACT-027,WRITE,0x0A,0x70,0x4E,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2131; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
28,51,ACT-028,WRITE,0x0A,0x71,0x6D,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2132; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
29,52,ACT-029,WRITE,0x0A,0x72,0x74,0xFF,0,COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_set_common_value:2133; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
30,55,ACT-030,BANK_SELECT,GLOBAL,0xFF,0x05,0xFF,0,FHD_COMMON,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_setchn_common_fhd:3395; current-v41 atomic bank-group contract,
31,57,ACT-031,WRITE,0x05,0x01,0x03,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3397; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
32,62,ACT-032,BANK_SELECT,GLOBAL,0xFF,0x00,0xFF,0,FHD_COMMON,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_setchn_common_fhd:3404; current-v41 atomic bank-group contract,
33,67,ACT-033,WRITE,0x00,0x21,0x82,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x02 and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3409; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
34,68,ACT-034,WRITE,0x00,0x22,0x0B,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_setchn_common_fhd:3410; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
35,74,ACT-035,BANK_SELECT,GLOBAL,0xFF,0x05,0xFF,0,FHD_COMMON,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_setchn_common_fhd:3418; current-v41 atomic bank-group contract,
36,80,ACT-036,WRITE,0x05,0x76,0x00,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x01 and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3424; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
37,86,ACT-037,WRITE,0x05,0xD4,0x00,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_setchn_common_fhd:3430; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
38,91,ACT-038,WRITE,0x05,0x6E,0x10,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3437; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
39,92,ACT-039,WRITE,0x05,0x6F,0x2A,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3438; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
40,96,ACT-040,BANK_SELECT,GLOBAL,0xFF,0x02,0xFF,0,FHD_COMMON,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_setchn_common_fhd:3446; current-v41 atomic bank-group contract,
41,97,ACT-041,WRITE,0x02,0x02,0x23,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x03 and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3447; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
42,98,ACT-042,WRITE,0x02,0x28,0x10,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3448; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
43,99,ACT-043,WRITE,0x02,0x29,0x78,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x2D and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3449; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
44,100,ACT-044,WRITE,0x02,0x2A,0x2D,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x0C and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3450; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
45,102,ACT-045,WRITE,0x02,0x2C,0x72,0xFF,0,FHD_COMMON,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x27 and require ACK/NACK_error=0,nvp6134_setchn_common_fhd:3452; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
46,113,ACT-046,BANK_SELECT,GLOBAL,0xFF,0x00,0xFF,0,AHD1080P25,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_setchn_ahd_1080p2530:3477; current-v41 atomic bank-group contract,
47,114,ACT-047,WRITE,0x00,0x18,0x30,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x14 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3478; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
48,124,ACT-048,WRITE,0x00,0x58,0x7D,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3491; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
49,125,ACT-049,WRITE,0x00,0x5C,0x9E,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x1E and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3492; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
50,126,ACT-050,WRITE,0x00,0x64,0x80,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x2D and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3493; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
51,128,ACT-051,WRITE,0x00,0x8E,0x00,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3495; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
52,129,ACT-052,WRITE,0x00,0xA0,0x09,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x18 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3496; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
53,135,ACT-053,BANK_SELECT,GLOBAL,0xFF,0x05,0xFF,0,AHD1080P25,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_setchn_ahd_1080p2530:3505; current-v41 atomic bank-group contract,
54,136,ACT-054,WRITE,0x05,0x1B,0x08,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x20 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3506; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
55,137,ACT-055,WRITE,0x05,0x20,0x90,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x84 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3507; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
56,139,ACT-056,WRITE,0x05,0x25,0xDC,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0xCA and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3509; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
57,140,ACT-057,WRITE,0x05,0x26,0xF0,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3510; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
58,141,ACT-058,WRITE,0x05,0x29,0x00,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3511; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
59,142,ACT-059,WRITE,0x05,0x2A,0x52,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x30 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3512; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
60,143,ACT-060,WRITE,0x05,0x58,0x03,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3513; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
61,144,ACT-061,WRITE,0x05,0x5F,0x00,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x70 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3515; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
62,145,ACT-062,WRITE,0x05,0x75,0x00,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,nvp6134_setchn_ahd_1080p2530:3516; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
63,146,ACT-063,WRITE,0x05,0x84,0x01,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3517; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
64,147,ACT-064,WRITE,0x05,0x86,0x20,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3518; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
65,148,ACT-065,WRITE,0x05,0x90,0x01,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x0D and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3519; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
66,152,ACT-066,WRITE,0x05,0xB8,0x38,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0xB8 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3523; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
67,153,ACT-067,WRITE,0x05,0xBB,0x04,0xFF,0,AHD1080P25,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0xB8 and require ACK/NACK_error=0,nvp6134_setchn_ahd_1080p2530:3524; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
68,198,ACT-068,WRITE,0x05,0x59,0x11,0xFF,0,EQ_INIT,FINAL_STATE_DELTA,minimum final-state delta,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,eq_init_each_format:82; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
69,200,ACT-069,WRITE,0x05,0xC0,0x17,0xFF,0,EQ_INIT,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,eq_init_each_format:133; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
70,201,ACT-070,WRITE,0x05,0xC1,0x13,0xFF,0,EQ_INIT,FINAL_STATE_DELTA,minimum final-state delta,PROHIBITED_UNRESOLVED,none; fail closed,eq_init_each_format:134; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,NO_SAFE_READ_AND_NO_AUTHORITATIVE_RESET_OR_PRODUCT_AUTOINIT_RECONSTRUCTION
71,206,ACT-071,BANK_SELECT,GLOBAL,0xFF,0x09,0xFF,0,POST_MODE,REQUIRED_SEQUENCE_REWRITE,enter atomic bank group for the next retained action,EXACT_READ_RESTORE,capture entry bank before first action; restore and verify on every terminal path,nvp6134_set_chnmode:1171; current-v41 atomic bank-group contract,
72,207,ACT-072,WRITE,0x09,0x40,0x61,0xFF,0,POST_MODE,REQUIRED_WRITE_PULSE,post-mode re-arm,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,nvp6134_set_chnmode:1172; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
73,208,ACT-073,DELAY,0x09,N/A,N/A,N/A,35,POST_MODE,REQUIRED_DELAY,post-mode re-arm,DETERMINISTIC_SEQUENCE_REINIT,abort the pulse sequence; rewrite Bank9/0x40 baseline 0x00,nvp6134_set_chnmode:1173; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
74,209,ACT-074,WRITE,0x09,0x40,0x00,0xFF,0,POST_MODE,REQUIRED_WRITE_PULSE,post-mode re-arm,DETERMINISTIC_SEQUENCE_REINIT,rewrite accepted current-v41 baseline 0x00 and require ACK/NACK_error=0,nvp6134_set_chnmode:1177; pinned 081ebbff9a2722d47acf16c680594be43cb179e2,
