ScenarioIndex,ActionIndex,ActionID,FailureType,CommittedFunctionalRegisters,CommittedProhibitedRegisters,RecoveryPath,TerminalState,AuthorityReason
19,3,ACT-003,TIMEOUT,2,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
20,3,ACT-003,READBACK_MISMATCH,2,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
21,3,ACT-003,HOST_ABORT,2,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
22,3,ACT-003,RESET,2,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
23,3,ACT-003,SCANNER_CONFLICT,2,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
24,3,ACT-003,MMIO_RESET,2,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
25,4,ACT-004,BEFORE_OPERATION,2,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
26,4,ACT-004,NACK,3,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
27,4,ACT-004,TIMEOUT,3,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
28,4,ACT-004,READBACK_MISMATCH,3,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
29,4,ACT-004,HOST_ABORT,3,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
30,4,ACT-004,RESET,3,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
31,4,ACT-004,SCANNER_CONFLICT,3,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
32,4,ACT-004,MMIO_RESET,3,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
33,5,ACT-005,BEFORE_OPERATION,3,1,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
34,5,ACT-005,NACK,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
35,5,ACT-005,TIMEOUT,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
36,5,ACT-005,READBACK_MISMATCH,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
37,5,ACT-005,HOST_ABORT,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
38,5,ACT-005,RESET,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
39,5,ACT-005,SCANNER_CONFLICT,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
40,5,ACT-005,MMIO_RESET,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
41,6,ACT-006,BEFORE_OPERATION,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
42,6,ACT-006,NACK,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
43,6,ACT-006,TIMEOUT,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
44,6,ACT-006,READBACK_MISMATCH,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
45,6,ACT-006,HOST_ABORT,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
46,6,ACT-006,RESET,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
47,6,ACT-006,SCANNER_CONFLICT,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
48,6,ACT-006,MMIO_RESET,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
49,7,ACT-007,BEFORE_OPERATION,4,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
50,7,ACT-007,NACK,5,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
51,7,ACT-007,TIMEOUT,5,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
52,7,ACT-007,READBACK_MISMATCH,5,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
53,7,ACT-007,HOST_ABORT,5,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
54,7,ACT-007,RESET,5,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
55,7,ACT-007,SCANNER_CONFLICT,5,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
56,7,ACT-007,MMIO_RESET,5,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
57,8,ACT-008,BEFORE_OPERATION,5,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
58,8,ACT-008,NACK,6,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
59,8,ACT-008,TIMEOUT,6,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
60,8,ACT-008,READBACK_MISMATCH,6,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
61,8,ACT-008,HOST_ABORT,6,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
62,8,ACT-008,RESET,6,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
63,8,ACT-008,SCANNER_CONFLICT,6,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
64,8,ACT-008,MMIO_RESET,6,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
65,9,ACT-009,BEFORE_OPERATION,6,2,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
66,9,ACT-009,NACK,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
67,9,ACT-009,TIMEOUT,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
68,9,ACT-009,READBACK_MISMATCH,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
69,9,ACT-009,HOST_ABORT,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
70,9,ACT-009,RESET,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
71,9,ACT-009,SCANNER_CONFLICT,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
72,9,ACT-009,MMIO_RESET,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
73,10,ACT-010,BEFORE_OPERATION,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
74,10,ACT-010,NACK,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
75,10,ACT-010,TIMEOUT,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
76,10,ACT-010,READBACK_MISMATCH,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
77,10,ACT-010,HOST_ABORT,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
78,10,ACT-010,RESET,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
79,10,ACT-010,SCANNER_CONFLICT,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
80,10,ACT-010,MMIO_RESET,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
81,11,ACT-011,BEFORE_OPERATION,7,3,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
82,11,ACT-011,NACK,8,4,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
83,11,ACT-011,TIMEOUT,8,4,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
84,11,ACT-011,READBACK_MISMATCH,8,4,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
85,11,ACT-011,HOST_ABORT,8,4,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
86,11,ACT-011,RESET,8,4,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
87,11,ACT-011,SCANNER_CONFLICT,8,4,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
88,11,ACT-011,MMIO_RESET,8,4,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
89,12,ACT-012,BEFORE_OPERATION,8,4,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
90,12,ACT-012,NACK,9,5,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
91,12,ACT-012,TIMEOUT,9,5,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
92,12,ACT-012,READBACK_MISMATCH,9,5,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
93,12,ACT-012,HOST_ABORT,9,5,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
94,12,ACT-012,RESET,9,5,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
95,12,ACT-012,SCANNER_CONFLICT,9,5,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
96,12,ACT-012,MMIO_RESET,9,5,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
97,13,ACT-013,BEFORE_OPERATION,9,5,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
98,13,ACT-013,NACK,10,6,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
99,13,ACT-013,TIMEOUT,10,6,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
100,13,ACT-013,READBACK_MISMATCH,10,6,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
101,13,ACT-013,HOST_ABORT,10,6,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
102,13,ACT-013,RESET,10,6,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
103,13,ACT-013,SCANNER_CONFLICT,10,6,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
104,13,ACT-013,MMIO_RESET,10,6,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
105,14,ACT-014,BEFORE_OPERATION,10,6,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
106,14,ACT-014,NACK,11,7,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
107,14,ACT-014,TIMEOUT,11,7,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
108,14,ACT-014,READBACK_MISMATCH,11,7,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
109,14,ACT-014,HOST_ABORT,11,7,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
110,14,ACT-014,RESET,11,7,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
111,14,ACT-014,SCANNER_CONFLICT,11,7,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
112,14,ACT-014,MMIO_RESET,11,7,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
113,15,ACT-015,BEFORE_OPERATION,11,7,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
114,15,ACT-015,NACK,12,8,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
115,15,ACT-015,TIMEOUT,12,8,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
116,15,ACT-015,READBACK_MISMATCH,12,8,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
117,15,ACT-015,HOST_ABORT,12,8,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
118,15,ACT-015,RESET,12,8,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
119,15,ACT-015,SCANNER_CONFLICT,12,8,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
120,15,ACT-015,MMIO_RESET,12,8,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
121,16,ACT-016,BEFORE_OPERATION,12,8,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
122,16,ACT-016,NACK,13,9,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
123,16,ACT-016,TIMEOUT,13,9,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
124,16,ACT-016,READBACK_MISMATCH,13,9,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
125,16,ACT-016,HOST_ABORT,13,9,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
126,16,ACT-016,RESET,13,9,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
127,16,ACT-016,SCANNER_CONFLICT,13,9,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
128,16,ACT-016,MMIO_RESET,13,9,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
129,17,ACT-017,BEFORE_OPERATION,13,9,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
130,17,ACT-017,NACK,14,10,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
131,17,ACT-017,TIMEOUT,14,10,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
132,17,ACT-017,READBACK_MISMATCH,14,10,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
133,17,ACT-017,HOST_ABORT,14,10,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
134,17,ACT-017,RESET,14,10,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
135,17,ACT-017,SCANNER_CONFLICT,14,10,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
136,17,ACT-017,MMIO_RESET,14,10,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
137,18,ACT-018,BEFORE_OPERATION,14,10,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
138,18,ACT-018,NACK,15,11,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
139,18,ACT-018,TIMEOUT,15,11,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
140,18,ACT-018,READBACK_MISMATCH,15,11,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
141,18,ACT-018,HOST_ABORT,15,11,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
142,18,ACT-018,RESET,15,11,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
143,18,ACT-018,SCANNER_CONFLICT,15,11,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
144,18,ACT-018,MMIO_RESET,15,11,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
145,19,ACT-019,BEFORE_OPERATION,15,11,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
146,19,ACT-019,NACK,16,12,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
147,19,ACT-019,TIMEOUT,16,12,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
148,19,ACT-019,READBACK_MISMATCH,16,12,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
149,19,ACT-019,HOST_ABORT,16,12,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
150,19,ACT-019,RESET,16,12,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
151,19,ACT-019,SCANNER_CONFLICT,16,12,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
152,19,ACT-019,MMIO_RESET,16,12,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
153,20,ACT-020,BEFORE_OPERATION,16,12,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
154,20,ACT-020,NACK,17,13,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
155,20,ACT-020,TIMEOUT,17,13,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
156,20,ACT-020,READBACK_MISMATCH,17,13,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
157,20,ACT-020,HOST_ABORT,17,13,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
158,20,ACT-020,RESET,17,13,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
159,20,ACT-020,SCANNER_CONFLICT,17,13,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
160,20,ACT-020,MMIO_RESET,17,13,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
161,21,ACT-021,BEFORE_OPERATION,17,13,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
162,21,ACT-021,NACK,18,14,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
163,21,ACT-021,TIMEOUT,18,14,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
164,21,ACT-021,READBACK_MISMATCH,18,14,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
165,21,ACT-021,HOST_ABORT,18,14,ABORTING->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,one or more unknown-baseline registers may have committed
