Item_ID,File_or_Asset,R1i_State,XDMA_Donor_State,Comparison_Base_vs_R1i,Comparison_Old_v41_vs_R1i,Decision_Area,Conflict_With_R1i,Recommended_Treatment,Evidence
"C011","tests/v41/r1i_master_test_adapter.vhd","R1i-only qualified test adapter","Absent from donor","R1I_ONLY_CHANGE","R1I_ONLY_CHANGE","No conflict","NO","Reuse as-is with exact R1i sources","Focused simulation PASS in publication"
"C012","tests/v41/tb_r1i_poc_mmio.sv","R1i-only MMIO regression","Absent from donor","R1I_ONLY_CHANGE","R1I_ONLY_CHANGE","No conflict","NO","Reuse as-is for G3/G4 regression","Focused R1i MMIO simulation PASS"
"C013","tests/v41/tb_r1i_qualified_ack_readiness.sv","R1i-only causal/readiness regression","Absent from donor","R1I_ONLY_CHANGE","R1I_ONLY_CHANGE","No conflict","NO","Reuse as-is for G3","Focused R1i readiness simulation PASS"
"C014","xdc/v41/xdma_pcie.xdc","Identical active constraint","Identical active constraint in base/dev","UNCHANGED","UNCHANGED","Hierarchy- and placement-sensitive timing must be revalidated after integration","NO","Reuse exact file after integration timing review","R1i and donor hashes/active lists match; R1i routed timing PASS"
"C015","xdc/v41/pins.xdc","Identical active constraint","Identical active constraint in base/dev","UNCHANGED","UNCHANGED","No textual conflict","NO","Reuse exact pin constraints","R1i and donor active-list identity PASS"
"C016","xdc/v41/vdo_input_timing.xdc","Identical active VDO timing constraint","Identical active VDO timing constraint in base/dev","UNCHANGED","UNCHANGED","Empirical timing assumptions need board/population revalidation","NO","Reuse after timing revalidation","R1i routed timing PASS; single-board qualification only"
"C017","xdc/v41/pcie_pio.xdc","Identical active PCIe pin/GT/reset constraint","Identical active constraint in base/dev","UNCHANGED","UNCHANGED","No textual conflict","NO","Reuse exact file","Donor and R1i endpoint hardware PASS"
"C018","xdc/v41/nvp_control.xdc","Identical active NVP-control pin constraint","Identical active constraint in base/dev","UNCHANGED","UNCHANGED","No textual conflict","NO","Reuse exact file","R1i NVP hardware PASS"
"C019","xdc/v41/cdc.xdc","Identical active CDC constraint","Identical active constraint in base/dev","UNCHANGED","UNCHANGED","Object matching is hierarchy-sensitive after RTL integration","NO","Reuse after object-resolution and timing revalidation","R1i routed timing/CDC build checks PASS"
"C020","xdc/v41/configuration_bank.xdc","Identical active configuration-bank constraint","Identical active constraint in base/dev","UNCHANGED","UNCHANGED","No textual conflict","NO","Reuse exact file","R1i and donor active-list identity PASS"
"C021","host/v41/phase2_xdma_validate.sh and host/v41 helpers","R1i reused the same endpoint/MMIO access model","PCIe enumeration, pinned driver, BAR, identity, and scratch validation","XDMA_ONLY_CHANGE","XDMA_ONLY_CHANGE","Host/kernel/driver environment is stale and external driver source is not vendored","NO","Reuse procedure after host revalidation; do not treat it as DMA tooling","Phase 2 hardware PASS with DMA operations explicitly zero"
"C022","C2H/H2C application data path","No DMA path in R1i","No DMA path in donor; C2H outputs zero, H2C tready low","UNCHANGED","UNCHANGED","Missing implementation rather than a merge conflict","NO","New future-gate work; do not claim donor implementation","All relevant published telemetry reports zero DMA operations"
