RuleID,CanonicalLeafFamily,LegacyR2FamilyAlias,ParentFamily,Field,AllowedPhysicalSourceBase,PhysicalCellFullmatchRegex,AllowedIndices,SourceClock,DestinationClock,StartpointRole,AllowedUseRoles,GoverningToken,Protocol,EarliestUseBarrier,ExceptionClass,ExceptionRequirementNs,ReplacementGroup,AuthorityStatus,AuthorityEvidence
SF011,OWNERSHIP_STABLE_PAYLOAD,,NONE,EPOCH,G2B_ONECH_C2H/axis_epoch_reg,^G2B_ONECH_C2H/axis_epoch_reg\[(?P<bit>[0-9]|[12][0-9]|3[01])\]$,selected-slot-field;bit=0..31,userclk1,nvp_vclk1,PAYLOAD,OWNERSHIP_NORMAL|OWNERSHIP_MISMATCH|OWNERSHIP_DECISION,own_req_toggle_axi_to_own_req_sync2_source,own_ack_toggle_source_to_own_ack_sync2_axi,GROUP_9_EARLIEST_USE_13.468NS_AND_6NS_SETTLING_CAP,Max Delay Datapath Only,6.000,GROUP_9_CHECKS_1_TO_3_OWNERSHIP_MAILBOX,GOVERNED_GROUP_9_ROUTED_ALIAS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-bs3-ownership-mailbox-settling-proof\G2B_BS3_OWNERSHIP_PROTOCOL_MODEL.md
SF012,OWNERSHIP_RESULT_STABLE_PAYLOAD,,NONE,RESULT,G2B_ONECH_C2H/own_ok_hold_source_reg,^G2B_ONECH_C2H/own_ok_hold_source_reg$,scalar,nvp_vclk1,userclk1,PAYLOAD,OWNERSHIP_ACKNOWLEDGED_RESULT,own_ack_toggle_source_to_own_ack_sync2_axi,reverse stable result held until acknowledgement crosses back and AXI consumes it,GROUP_9_ACK_TO_USE_GE_32NS_AND_RETAINED_6NS_CAP,Max Delay Datapath Only,6.000,GROUP_9_RETAINED_REVERSE_OWN_OK_SOURCE_TO_AXI,GOVERNED_GROUP_9_REVERSE_RESULT,C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\rtl\g2b\v41_g2b_onech_c2h.sv#L569-L588|C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\rtl\g2b\v41_g2b_onech_c2h.sv#L1801-L1820|C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\xdc\common\g2b_cdc.xdc#L190-L203|C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-bs3-ownership-mailbox-settling-proof\G2B_BS3_PROTOCOL_TIMING_MARGIN.md
SF013,ENABLE_VALUE_STABLE_PAYLOAD,,NONE,VALUE,G2B_ONECH_C2H/enable_value_hold_axi_reg,^G2B_ONECH_C2H/enable_value_hold_axi_reg$,scalar,userclk1,nvp_vclk1,PAYLOAD,ENABLE_REQUEST,enable_req_toggle_axi_to_enable_req_sync2_source,enable_ack_toggle_source_to_enable_ack_sync2_axi,TWO_NVP_CLOCK_SYNCHRONIZER_PLUS_REGISTERED_USE_AND_HOLD_UNTIL_ACK,Max Delay Datapath Only,6.000,PRESERVED_AGGREGATE_AXI_TO_SOURCE_MAILBOX_6NS,SOURCE_AND_ACTIVE_XDC_PROTOCOL_AUXILIARY,C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\rtl\g2b\v41_g2b_onech_c2h.sv#L141-L149|C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\rtl\g2b\v41_g2b_onech_c2h.sv#L534-L540|C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\rtl\g2b\v41_g2b_onech_c2h.sv#L1857-L1861|C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\xdc\common\g2b_cdc.xdc#L27-L34
SF014,TRANSPORT_RESET_STABLE_PAYLOAD,,NONE,EPOCH,G2B_ONECH_C2H/transport_epoch_hold_axi_reg,^G2B_ONECH_C2H/transport_epoch_hold_axi_reg\[(?P<bit>[0-9]|[12][0-9]|3[01])\]$,bit=0..31,userclk1,nvp_vclk1,PAYLOAD,TRANSPORT_RESET_REQUEST,transport_req_toggle_axi_to_transport_req_sync2_source,transport acknowledgement withheld until captured release and ownership phases retire,TRANSPORT_REQ_SYNC2_SOURCE_SEMANTIC_USE_PLUS_PHASE_RETIREMENT_BARRIER,Max Delay Datapath Only,2.500,ACTIVE_GROUP_8_TRANSPORT_AXI_TO_SOURCE,SOURCE_AND_ACTIVE_GROUP_8_AUXILIARY,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R1_20260909T203832Z\reports\vivado_full\BUS_SKEW_GROUPS\08_TRANSPORT_AXI_TO_SOURCE_BUS_SKEW.rpt
SF015,TRANSPORT_RESET_STABLE_PAYLOAD,,NONE,HARD,G2B_ONECH_C2H/transport_hard_hold_axi_reg,^G2B_ONECH_C2H/transport_hard_hold_axi_reg$,scalar,userclk1,nvp_vclk1,PAYLOAD,TRANSPORT_RESET_REQUEST,transport_req_toggle_axi_to_transport_req_sync2_source,transport acknowledgement withheld until captured release and ownership phases retire,TRANSPORT_REQ_SYNC2_SOURCE_SEMANTIC_USE_PLUS_PHASE_RETIREMENT_BARRIER,Max Delay Datapath Only,2.500,ACTIVE_GROUP_8_TRANSPORT_AXI_TO_SOURCE,SOURCE_AND_ACTIVE_GROUP_8_AUXILIARY,C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\rtl\g2b\v41_g2b_onech_c2h.sv#L151-L162|C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\rtl\g2b\v41_g2b_onech_c2h.sv#L590-L600|C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\rtl\g2b\v41_g2b_onech_c2h.sv#L629-L719|C:\FPGA\V41_G2B_NVP_VIDEO_DIAG1\xdc\common\g2b_cdc.xdc#L45-L48|C:\FPGA\G2B_NVP_VIDEO_DIAG1_R1_20260909T203832Z\reports\vivado_full\BUS_SKEW_GROUPS\08_TRANSPORT_AXI_TO_SOURCE_BUS_SKEW.rpt
SF016,TRANSPORT_RESET_STABLE_PAYLOAD,,NONE,RELEASE_PHASE,G2B_ONECH_C2H/transport_release_phase_hold_axi_reg,^G2B_ONECH_C2H/transport_release_phase_hold_axi_reg\[(?P<slot>[0-3])\]$,slot=0..3,userclk1,nvp_vclk1,PAYLOAD,TRANSPORT_RESET_REQUEST|RESET_OVERLAP_ACCOUNTING,transport_req_toggle_axi_to_transport_req_sync2_source,transport acknowledgement withheld until release_sync2_source equals captured release phase,TRANSPORT_REQ_SYNC2_SOURCE_SEMANTIC_USE_PLUS_RELEASE_PHASE_RETIREMENT_BARRIER,Max Delay Datapath Only,2.500,ACTIVE_GROUP_8_TRANSPORT_AXI_TO_SOURCE,SOURCE_GROUP_8_AND_GROUPS_14_TO_17_RESET_OVERLAP_AUXILIARY,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-g14a-release-slot0-signoff-audit\G2B_G14A_SEMANTIC_MODEL.md
SF017,TRANSPORT_RESET_STABLE_PAYLOAD,,NONE,OWNERSHIP_PHASE,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg,^G2B_ONECH_C2H/transport_own_phase_hold_axi_reg$,scalar,userclk1,nvp_vclk1,PAYLOAD,TRANSPORT_RESET_REQUEST,transport_req_toggle_axi_to_transport_req_sync2_source,transport acknowledgement withheld until own_req_sync2_source equals captured ownership phase,TRANSPORT_REQ_SYNC2_SOURCE_SEMANTIC_USE_PLUS_OWNERSHIP_PHASE_RETIREMENT_BARRIER,Max Delay Datapath Only,2.500,ACTIVE_GROUP_8_TRANSPORT_AXI_TO_SOURCE,SOURCE_GROUP_8_AND_GROUP_9_RESET_RETIREMENT_AUXILIARY,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-bs3-ownership-mailbox-settling-proof\G2B_BS3_OWNERSHIP_PROTOCOL_MODEL.md
SF018,SNAPSHOT_REQUEST_EPOCH_STABLE_PAYLOAD,,NONE,EPOCH,G2B_ONECH_C2H/snapshot_epoch_hold_axi_reg,^G2B_ONECH_C2H/snapshot_epoch_hold_axi_reg\[(?P<bit>[0-9]|[12][0-9]|3[01])\]$,bit=0..31,userclk1,nvp_vclk1,PAYLOAD,SNAPSHOT_REQUEST,snapshot_req_toggle_axi_to_snapshot_req_sync2_source,snapshot epoch captured into source echo and returned with snapshot acknowledgement,TWO_NVP_CLOCK_SYNCHRONIZER_PLUS_SOURCE_CAPTURE,Max Delay Datapath Only,6.000,ACTIVE_GROUP_7_SNAPSHOT_EPOCH_AXI_TO_SOURCE,SOURCE_AND_ACTIVE_GROUP_7_AUXILIARY,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R1_20260909T203832Z\reports\vivado_full\BUS_SKEW_GROUPS\07_SNAPSHOT_EPOCH_AXI_TO_SOURCE_BUS_SKEW.rpt
SF019,RELEASE_GENERATION_FIELD,RELEASE_SLOT_STABLE_PAYLOAD,RELEASE_TOKEN_STABLE_PAYLOAD,GENERATION,G2B_ONECH_C2H/release_generation_axi_reg,^G2B_ONECH_C2H/release_generation_axi_reg\[(?P<slot>[0-3])\]\[(?P<bit>[0-9]|1[0-9]|2[0-3])\]$,slot=0..3;bit=0..23,userclk1,nvp_vclk1,PAYLOAD,ORDINARY_RELEASE_NORMAL|ORDINARY_RELEASE_MISMATCH|RESET_OVERLAP_ACCOUNTING,ROLE_DEPENDENT_SEE_JSON,ROLE_DEPENDENT_SEE_JSON,ROLE_DEPENDENT_SEE_JSON,Max Delay Datapath Only,6.000,GROUPS_14_TO_17_RELEASE_SLOT_CHECKS,GOVERNED_R2_LEGACY_ALIAS_AND_GROUPS_14_TO_17,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-g15-17-release-slot-equivalence-audit\G2B_G15_17_EQ_STRUCTURAL_EQUIVALENCE_MATRIX.csv
SF020,RELEASE_EPOCH_FIELD,RELEASE_EPOCH_STABLE_PAYLOAD,RELEASE_TOKEN_STABLE_PAYLOAD,EPOCH,G2B_ONECH_C2H/release_epoch_axi_reg,^G2B_ONECH_C2H/release_epoch_axi_reg\[(?P<slot>[0-3])\]\[(?P<bit>[0-9]|[12][0-9]|3[01])\]$,slot=0..3;bit=0..31,userclk1,nvp_vclk1,PAYLOAD,ORDINARY_RELEASE_NORMAL|ORDINARY_RELEASE_MISMATCH|RESET_OVERLAP_ACCOUNTING,ROLE_DEPENDENT_SEE_JSON,ROLE_DEPENDENT_SEE_JSON,ROLE_DEPENDENT_SEE_JSON,Max Delay Datapath Only,6.000,GROUPS_14_TO_17_RELEASE_SLOT_CHECKS,GOVERNED_R2_LEGACY_ALIAS_AND_GROUPS_14_TO_17,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-g14a-release-slot0-signoff-audit\G2B_G14A_CDC_PROTOCOL_PROOF.md
