RowID,ProductPhysicalSource,DiagnosticPhysicalSource,DestinationEndpoint,Rule,Severity,SourceClock,DestinationClock,Exception,SemanticFamilyOrSupportSet,GoverningToken,Protocol,EarliestUseBarrier,ReplacementGroup,ProofClass,RowDisposition,EvidencePath
CDC-ALL-00011,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[18]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00011.json
CDC-ALL-00012,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[19]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00012.json
CDC-ALL-00013,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[1]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00013.json
CDC-ALL-00014,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[20]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00014.json
CDC-ALL-00015,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[21]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00015.json
CDC-ALL-00016,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[22]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00016.json
CDC-ALL-00017,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[23]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00017.json
CDC-ALL-00018,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[24]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00018.json
CDC-ALL-00019,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[25]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00019.json
CDC-ALL-00020,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[26]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00020.json
CDC-ALL-00021,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[27]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00021.json
CDC-ALL-00022,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[28]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00022.json
CDC-ALL-00023,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[29]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00023.json
CDC-ALL-00024,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[2]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00024.json
CDC-ALL-00025,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[30]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00025.json
CDC-ALL-00026,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[31]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00026.json
CDC-ALL-00027,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[3]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00027.json
CDC-ALL-00028,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[4]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00028.json
CDC-ALL-00029,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[5]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00029.json
CDC-ALL-00030,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[6]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00030.json
CDC-ALL-00031,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[7]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00031.json
CDC-ALL-00032,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[8]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00032.json
CDC-ALL-00033,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/own_ok_hold_source_reg/C,G2B_ONECH_C2H/axis_global_reg[9]/CE,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,UNCHANGED_PHYSICAL_SOURCE,EXISTING_REPORT_DISPOSITION,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION,EXISTING_REPORT_CLOCK_AND_EXCEPTION_CONTRACT,UNCHANGED_CDC-1_REPORT_DISPOSITION,BYTE_IDENTICAL,PASS,cdc/profile-cdc-byte-identical-row-evidence/CDC-ALL-00033.json
CDC1-CHG-0002,G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C,G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C,G2B_ONECH_C2H/axis_state_reg[0]/D,CDC-1,Critical,nvp_vclk1,userclk1,Max Delay Datapath Only,"[{""Field"":""RESULT"",""LeafFamily"":""OWNERSHIP_RESULT_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":null,""SourceClock"":""nvp_vclk1"",""UseRole"":""OWNERSHIP_ACKNOWLEDGED_RESULT""},{""Field"":""COMMIT_PHASE"",""LeafFamily"":""RESET_COMMIT_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""RESET_RETURN_COMPLETION""},{""Field"":""COMMIT_PHASE"",""LeafFamily"":""RESET_COMMIT_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""RESET_RETURN_COMPLETION""},{""Field"":""COMMIT_PHASE"",""LeafFamily"":""RESET_COMMIT_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""RESET_RETURN_COMPLETION""},{""Field"":""COMMIT_PHASE"",""LeafFamily"":""RESET_COMMIT_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""RESET_RETURN_COMPLETION""}]","[""commit_sync2_axi[3:0]_completion_barrier"",""own_ack_toggle_source_to_own_ack_sync2_axi"",""transport_ack_sync2_axi_and_commit_sync2_axi_completion""]","[""ownership result consumed only after returned acknowledgement"",""reverse stable result held until acknowledgement crosses back and AXI consumes it"",""transport request/ack plus synchronized commit completion"",""transport request/ack plus synchronized four-slot commit equality""]","[""GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP"",""GROUP_9_ACK_TO_USE_GE_32NS_AND_RETAINED_6NS_CAP"",""GROUP_9_EARLIEST_USE_13.468NS_AND_6NS_SETTLING_CAP""]","[""GROUP_13_CHECK_4_RESET_ABANDONED_COUNT_STABLE_PAYLOAD"",""GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER"",""GROUP_9_CHECKS_1_TO_3_OWNERSHIP_MAILBOX"",""GROUP_9_RETAINED_REVERSE_OWN_OK_SOURCE_TO_AXI""]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,PASS,cdc/destination-cone-row-evidence/CDC1-CHG-0002.json
