test_id,family,description,result,reason
E9,ACQ1_COMPAT0,compiled APPLY_60,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E10,ACQ1_COMPAT0,generic path absence,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E11,ACQ1_COMPAT0,scanner blocks executor,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E12,ACQ1_COMPAT0,executor blocks scanner,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E13,ACQ1_COMPAT0,autoinit priority,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E14,ACQ1_COMPAT0,NACK rollback,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E15,ACQ1_COMPAT0,timeout rollback,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E16,ACQ1_COMPAT0,readback-mismatch rollback,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E17,ACQ1_COMPAT0,rollback-failure latch,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E18,ACQ1_COMPAT0,host ABORT restore,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E19,ACQ1_COMPAT0,MMIO ordering/backpressure,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
E20,ACQ1_COMPAT0,successful ordered sequence and restore,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
