entry_index,group,bank,register,channel_scope,meaning,classification,post_restore_rule
36,G1,0x01,0x8F,CH4,pre/decoder clock selection,CONFIGURATION_STABLE,EXACT_EQUAL
37,G2,0x05,0xF0,CH1,raw video-format classifier,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
38,G2,0x05,0xF2,CH1,format conversion auxiliary,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
39,G2,0x05,0xF3,CH1,special-format discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
40,G2,0x05,0xF4,CH1,special-format vertical-count discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
41,G2,0x05,0xF5,CH1,special-format vertical-count discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
42,G2,0x05,0xE2,CH1,ACC gain high byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
43,G2,0x05,0xE3,CH1,ACC gain low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
44,G2,0x05,0xE8,CH1,Y-plus slope high bits,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
45,G2,0x05,0xE9,CH1,Y-plus slope low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
46,G2,0x05,0xEA,CH1,Y-minus slope high bits,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
47,G2,0x05,0xEB,CH1,Y-minus slope low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
48,G3,0x06,0xF0,CH2,raw video-format classifier,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
49,G3,0x06,0xF2,CH2,format conversion auxiliary,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
50,G3,0x06,0xF3,CH2,special-format discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
51,G3,0x06,0xF4,CH2,special-format vertical-count discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
52,G3,0x06,0xF5,CH2,special-format vertical-count discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
53,G3,0x06,0xE2,CH2,ACC gain high byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
54,G3,0x06,0xE3,CH2,ACC gain low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
55,G3,0x06,0xE8,CH2,Y-plus slope high bits,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
56,G3,0x06,0xE9,CH2,Y-plus slope low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
57,G3,0x06,0xEA,CH2,Y-minus slope high bits,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
58,G3,0x06,0xEB,CH2,Y-minus slope low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
59,G4,0x07,0xF0,CH3,raw video-format classifier,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
60,G4,0x07,0xF2,CH3,format conversion auxiliary,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
61,G4,0x07,0xF3,CH3,special-format discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
62,G4,0x07,0xF4,CH3,special-format vertical-count discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
63,G4,0x07,0xF5,CH3,special-format vertical-count discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
64,G4,0x07,0xE2,CH3,ACC gain high byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
65,G4,0x07,0xE3,CH3,ACC gain low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
66,G4,0x07,0xE8,CH3,Y-plus slope high bits,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
67,G4,0x07,0xE9,CH3,Y-plus slope low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
68,G4,0x07,0xEA,CH3,Y-minus slope high bits,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
69,G4,0x07,0xEB,CH3,Y-minus slope low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
70,G5,0x08,0xF0,CH4,raw video-format classifier,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
71,G5,0x08,0xF2,CH4,format conversion auxiliary,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
72,G5,0x08,0xF3,CH4,special-format discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
73,G5,0x08,0xF4,CH4,special-format vertical-count discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
74,G5,0x08,0xF5,CH4,special-format vertical-count discriminator,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
75,G5,0x08,0xE2,CH4,ACC gain high byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
76,G5,0x08,0xE3,CH4,ACC gain low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
77,G5,0x08,0xE8,CH4,Y-plus slope high bits,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
78,G5,0x08,0xE9,CH4,Y-plus slope low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
79,G5,0x08,0xEA,CH4,Y-minus slope high bits,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
80,G5,0x08,0xEB,CH4,Y-minus slope low byte,DETECTOR_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
81,G0-POST,0x00,0xA8,ALL_CH_BITS,NOVID post-bookend,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
