GlobalSequenceNumber,ConfigurationLayer,SourceFile,SourceLine,SourceSymbol,Channel,LogicalChannelIndex,ExpectedPrivateBank,SelectedBankBefore,BankSelectWrite,RegisterAddress,Operation,WriteData,WriteMask,ReadModifyWrite,KnownInitialBits,SymbolicUnknownBits,ComputedFinalValue,DelayBefore,DelayAfter,Condition,Reason,AuthorityReference
14,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x00,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x00,nvp6134c_i2c_bringup.vhd:1056-1062
15,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,239,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x00,WRITE,0x10,0xFF,NO,N/A,NONE,0x10,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:239; bringup:997-1070
16,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,240,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x23,WRITE,0x43,0xFF,NO,N/A,NONE,0x43,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:240; bringup:997-1070
17,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,241,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x30,WRITE,0x10,0xFF,NO,N/A,NONE,0x10,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:241; bringup:997-1070
18,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,242,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x34,WRITE,0x02,0xFF,NO,N/A,NONE,0x02,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:242; bringup:997-1070
19,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,243,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x93,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:243; bringup:997-1070
20,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x05,0xFF,NO,N/A,NONE,0x05,0,0,ALWAYS,select physical bank 0x05 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
21,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x05,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x05,nvp6134c_i2c_bringup.vhd:1056-1062
22,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,244,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x00,WRITE,0xC0,0xFF,NO,N/A,NONE,0xC0,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:244; bringup:997-1070
23,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,245,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x01,WRITE,0x02,0xFF,NO,N/A,NONE,0x02,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:245; bringup:997-1070
24,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,246,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x08,WRITE,0x50,0xFF,NO,N/A,NONE,0x50,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:246; bringup:997-1070
25,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,247,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x11,WRITE,0x06,0xFF,NO,N/A,NONE,0x06,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:247; bringup:997-1070
26,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,248,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x23,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:248; bringup:997-1070
27,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,249,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x2A,WRITE,0x52,0xFF,NO,N/A,NONE,0x52,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:249; bringup:997-1070
28,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,250,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x58,WRITE,0x02,0xFF,NO,N/A,NONE,0x02,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:250; bringup:997-1070
29,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,251,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x59,WRITE,0x11,0xFF,NO,N/A,NONE,0x11,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:251; bringup:997-1070
30,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,252,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0xB8,WRITE,0xB9,0xFF,NO,N/A,NONE,0xB9,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:252; bringup:997-1070
31,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,253,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0xC8,WRITE,0x04,0xFF,NO,N/A,NONE,0x04,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:253; bringup:997-1070
32,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x05,YES,0xFF,WRITE,0x0A,0xFF,NO,N/A,NONE,0x0A,0,0,ALWAYS,select physical bank 0x0A for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
33,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x0A,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x0A,nvp6134c_i2c_bringup.vhd:1056-1062
34,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,254,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x0A,NO,0x74,WRITE,0x02,0xFF,NO,N/A,NONE,0x02,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:254; bringup:997-1070
35,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x0A,YES,0xFF,WRITE,0x09,0xFF,NO,N/A,NONE,0x09,0,0,ALWAYS,select physical bank 0x09 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
36,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x09,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x09,nvp6134c_i2c_bringup.vhd:1056-1062
37,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,255,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x64,WRITE,0x98,0xFF,NO,N/A,NONE,0x98,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:255; bringup:997-1070
38,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,256,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x6A,WRITE,0x18,0xFF,NO,N/A,NONE,0x18,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:256; bringup:997-1070
39,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,257,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x6B,WRITE,0xFF,0xFF,NO,N/A,NONE,0xFF,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:257; bringup:997-1070
40,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,258,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x80,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:258; bringup:997-1070
41,L1_PRODUCT_AUTOINIT_FIXED,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,259,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x81,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:259; bringup:997-1070
42,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x09,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,select physical bank 0x00 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
43,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x00,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x00,nvp6134c_i2c_bringup.vhd:1056-1062
44,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,260,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x00,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:260; bringup:997-1070
45,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x05,0xFF,NO,N/A,NONE,0x05,0,0,ALWAYS,select physical bank 0x05 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
46,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x05,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x05,nvp6134c_i2c_bringup.vhd:1056-1062
47,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,261,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x00,WRITE,0xC0,0xFF,NO,N/A,NONE,0xC0,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:261; bringup:997-1070
48,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,262,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x01,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:262; bringup:997-1070
49,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,263,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x58,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:263; bringup:997-1070
50,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,264,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x59,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:264; bringup:997-1070
51,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,265,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x5B,WRITE,0x03,0xFF,NO,N/A,NONE,0x03,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:265; bringup:997-1070
52,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x05,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,select physical bank 0x00 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
53,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x00,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x00,nvp6134c_i2c_bringup.vhd:1056-1062
54,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,266,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x08,WRITE,0xDD,0xFF,NO,N/A,NONE,0xDD,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:266; bringup:997-1070
55,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,267,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x0C,WRITE,0x08,0xFF,NO,N/A,NONE,0x08,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:267; bringup:997-1070
56,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,268,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x10,WRITE,0x88,0xFF,NO,N/A,NONE,0x88,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:268; bringup:997-1070
57,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,269,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x14,WRITE,0x90,0xFF,NO,N/A,NONE,0x90,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:269; bringup:997-1070
58,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,270,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x18,WRITE,0x08,0xFF,NO,N/A,NONE,0x08,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:270; bringup:997-1070
59,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,271,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x21,WRITE,0x02,0xFF,NO,N/A,NONE,0x02,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:271; bringup:997-1070
60,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,272,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x3C,WRITE,0x84,0xFF,NO,N/A,NONE,0x84,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:272; bringup:997-1070
61,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,273,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x44,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:273; bringup:997-1070
62,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,274,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x48,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:274; bringup:997-1070
63,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,275,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x4C,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:275; bringup:997-1070
64,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,276,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x50,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:276; bringup:997-1070
65,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,select physical bank 0x01 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
66,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x01,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x01,nvp6134c_i2c_bringup.vhd:1056-1062
67,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,277,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xED,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:277; bringup:997-1070
68,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x01,YES,0xFF,WRITE,0x05,0xFF,NO,N/A,NONE,0x05,0,0,ALWAYS,select physical bank 0x05 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
69,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x05,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x05,nvp6134c_i2c_bringup.vhd:1056-1062
70,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,278,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x69,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:278; bringup:997-1070
71,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,279,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x47,WRITE,0x04,0xFF,NO,N/A,NONE,0x04,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:279; bringup:997-1070
72,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,280,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x50,WRITE,0x84,0xFF,NO,N/A,NONE,0x84,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:280; bringup:997-1070
73,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,281,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x84,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:281; bringup:997-1070
74,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,282,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x86,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:282; bringup:997-1070
75,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,283,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0xD1,WRITE,0x10,0xFF,NO,N/A,NONE,0x10,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:283; bringup:997-1070
76,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,284,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x57,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:284; bringup:997-1070
77,L2_V38_R1I_STAGE2_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,285,c_v38ek_marek_op_for_slot,GLOBAL,N/A,N/A,0x05,NO,0x90,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:285; bringup:997-1070
