RelativePrivateAddress,RegisterName,DocumentedFunction,CH1_Bank,CH1_FinalValue,CH2_Bank,CH2_FinalValue,CH3_Bank,CH3_FinalValue,CH4_Bank,CH4_FinalValue,ExpectedEquivalenceClass,ObservedRelation,DifferenceClassification,SourceAuthority,PDFPage
0x27,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x57,0x06,SYM_B06_27_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_27_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_27_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x29,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x30,0x06,SYM_B06_29_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_29_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_29_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x2A,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x30,0x06,SYM_B06_2A_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_2A_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_2A_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x2B,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0xA8,0x06,SYM_B06_2B_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_2B_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_2B_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x47,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x04,0x06,SYM_B06_47_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_47_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_47_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x50,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x84,0x06,SYM_B06_50_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_50_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_50_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x56,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_56_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_56_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_56_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x57,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_57_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_57_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_57_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x58,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_58_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_58_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_58_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x59,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_59_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_59_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_59_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x5B,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x03,0x06,SYM_B06_5B_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_5B_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_5B_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x5F,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x70,0x06,SYM_B06_5F_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_5F_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_5F_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x64,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_64_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_64_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_64_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x69,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_69_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_69_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_69_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x6E,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_6E_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_6E_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_6E_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x6F,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_6F_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_6F_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_6F_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x76,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x01,0x06,SYM_B06_76_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_76_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_76_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x84,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_84_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_84_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_84_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x86,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_86_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_86_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_86_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x90,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x0D,0x06,SYM_B06_90_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_90_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_90_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x9B,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x80,0x06,SYM_B06_9B_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_9B_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_9B_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0xB5,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_B5_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_B5_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_B5_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0xB7,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0xFF,0x06,SYM_B06_B7_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_B7_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_B7_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0xB8,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0xB8,0x06,SYM_B06_B8_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_B8_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_B8_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0xBB,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0xB8,0x06,SYM_B06_BB_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_BB_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_BB_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0xC8,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x04,0x06,SYM_B06_C8_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_C8_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_C8_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0xD1,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x20,0x06,SYM_B06_D1_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_D1_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_D1_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
