Direction,RelativePrivateAddress,Bank5Sequence,Bank7Sequence,Bank6Sequence,Bank8Sequence,Pattern,RequiredForEveryChannel,CanAffectSAV,CausalStatus
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x5F,0x70,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x64,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x69,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x6E,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x6F,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x76,0x01,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x84,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x86,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x90,0x01;0x0D,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x9B,0x80,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0xB5,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0xB7,0xFF,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0xB8,0xB9;0xB8,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0xBB,0xB8,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0xC8,0x04,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0xD1,0x10;0x20,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK6_OR_BANK8_TO_BANK5_OR_BANK7,NONE,N/A,N/A,N/A,N/A,INVERSE_COUNT_0,N/A,N/A,NO_INVERSE_MISSING_WRITES
