row_id,rule,severity,destination,prior_source,current_source,semantic_family_or_support_set,prior_proof_class,protocol
CDC1-CHG-0290,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[0][2]/D,G2B_ONECH_C2H/release_generation_axi_reg[0][5]/C,G2B_ONECH_C2H/release_generation_axi_reg[0][22]/C,UNRECONCILED_SOURCE_BASE_DRIFT:RELEASE_EPOCH_STABLE_PAYLOAD->OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0291,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[1][0]/D,G2B_ONECH_C2H/axis_slot_reg[0]/C,G2B_ONECH_C2H/release_generation_axi_reg[1][18]/C,OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0292,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[1][1]/D,G2B_ONECH_C2H/axis_slot_reg[0]/C,G2B_ONECH_C2H/release_generation_axi_reg[1][18]/C,OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0293,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[1][2]/D,G2B_ONECH_C2H/axis_slot_reg[0]/C,G2B_ONECH_C2H/release_generation_axi_reg[1][18]/C,OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0294,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[2][0]/D,G2B_ONECH_C2H/release_epoch_axi_reg[2][17]/C,G2B_ONECH_C2H/release_epoch_axi_reg[2][4]/C,OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0295,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[2][1]/D,G2B_ONECH_C2H/release_epoch_axi_reg[2][17]/C,G2B_ONECH_C2H/release_epoch_axi_reg[2][4]/C,OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0296,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[2][2]/D,G2B_ONECH_C2H/release_epoch_axi_reg[2][17]/C,G2B_ONECH_C2H/release_epoch_axi_reg[2][4]/C,OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0297,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[3][0]/D,G2B_ONECH_C2H/axis_slot_reg[0]/C,G2B_ONECH_C2H/release_epoch_axi_reg[3][4]/C,OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0298,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[3][1]/D,G2B_ONECH_C2H/axis_slot_reg[0]/C,G2B_ONECH_C2H/release_epoch_axi_reg[3][4]/C,OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0299,CDC-1,Critical,G2B_ONECH_C2H/slot_state_source_reg[3][2]/D,G2B_ONECH_C2H/axis_slot_reg[0]/C,G2B_ONECH_C2H/release_epoch_axi_reg[3][4]/C,OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; matching generation epoch reset epoch and DMA_OWNED state authorize RELEASABLE""]"
CDC1-CHG-0300,CDC-1,Critical,G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D,G2B_ONECH_C2H/release_generation_axi_reg[0][5]/C,G2B_ONECH_C2H/release_epoch_axi_reg[2][4]/C,UNRECONCILED_SOURCE_BASE_DRIFT:RELEASE_EPOCH_STABLE_PAYLOAD->OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; mismatch fails closed through fatal event and admission disable""]"
CDC1-CHG-0301,CDC-1,Critical,G2B_ONECH_C2H/source_ownership_fatal_event_reg/D,G2B_ONECH_C2H/release_generation_axi_reg[0][5]/C,G2B_ONECH_C2H/release_epoch_axi_reg[2][4]/C,UNRECONCILED_SOURCE_BASE_DRIFT:RELEASE_EPOCH_STABLE_PAYLOAD->OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; mismatch fails closed through fatal event and admission disable"",""transport acknowledgement withheld until captured release and ownership phases retire""]"
CDC1-CHG-0302,CDC-1,Critical,G2B_ONECH_C2H/source_ownership_fatal_reg/D,G2B_ONECH_C2H/release_generation_axi_reg[0][5]/C,G2B_ONECH_C2H/release_epoch_axi_reg[2][4]/C,UNRECONCILED_SOURCE_BASE_DRIFT:RELEASE_EPOCH_STABLE_PAYLOAD->OWNERSHIP_STABLE_PAYLOAD,DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,"[""own_ack_toggle_source_to_own_ack_sync2_axi"",""per-slot release-toggle stable-data transfer; mismatch fails closed through fatal event and admission disable"",""transport acknowledgement withheld until captured release and ownership phases retire""]"
CDC-ALL-00422,CDC-1,Critical,G2B_ONECH_C2H/transport_ack_toggle_source_reg/D,G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,UNCHANGED_PHYSICAL_SOURCE,BYTE_IDENTICAL_TO_R2R1_DIAGNOSTIC,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
CDC-ALL-00423,CDC-1,Critical,G2B_ONECH_C2H/transport_retire_pending_source_reg/D,G2B_ONECH_C2H/transport_release_phase_hold_axi_reg[0]/C,G2B_ONECH_C2H/transport_own_phase_hold_axi_reg/C,UNCHANGED_PHYSICAL_SOURCE,BYTE_IDENTICAL_TO_R2R1_DIAGNOSTIC,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
CDC-ALL-00424,CDC-10,Critical,G2B_ONECH_C2H/source_ready_sync1_axi_reg/D,NVP_PHYSICAL_FRONTEND/ingress_reset_vclk_reg/C,nvp_ready_sync_reg[1]/C,"[""NVP_PHYSICAL_FRONTEND/ingress_reset_vclk_reg"",""nvp_ready_sync_reg[1]""]",DESTINATION_CONE_SUPPORT_SET_EQUIVALENCE,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
WARN-CHG-0001,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[0]/D,G2B_ONECH_C2H/desc_epoch_source_reg[1][0]/C,G2B_ONECH_C2H/desc_epoch_source_reg[3][0]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,"[""source descriptor completion followed by AXI-domain capture""]"
CDC-ALL-00797,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[10]/D,G2B_ONECH_C2H/desc_epoch_source_reg[3][10]/C,G2B_ONECH_C2H/desc_epoch_source_reg[0][10]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
WARN-CHG-0002,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[11]/D,G2B_ONECH_C2H/desc_epoch_source_reg[3][11]/C,G2B_ONECH_C2H/desc_epoch_source_reg[2][11]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,"[""source descriptor completion followed by AXI-domain capture""]"
WARN-CHG-0003,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[13]/D,G2B_ONECH_C2H/desc_epoch_source_reg[2][13]/C,G2B_ONECH_C2H/desc_epoch_source_reg[3][13]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,"[""source descriptor completion followed by AXI-domain capture""]"
WARN-CHG-0004,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[14]/D,G2B_ONECH_C2H/desc_epoch_source_reg[0][14]/C,G2B_ONECH_C2H/desc_epoch_source_reg[3][14]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,"[""source descriptor completion followed by AXI-domain capture""]"
CDC-ALL-00802,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[15]/D,G2B_ONECH_C2H/desc_epoch_source_reg[2][15]/C,G2B_ONECH_C2H/desc_epoch_source_reg[3][15]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,EXISTING_PHYSICAL_DISPOSITION_PRESERVED_NO_NORMALIZATION
WARN-CHG-0005,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[16]/D,G2B_ONECH_C2H/desc_epoch_source_reg[2][16]/C,G2B_ONECH_C2H/desc_epoch_source_reg[1][16]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,"[""source descriptor completion followed by AXI-domain capture""]"
WARN-CHG-0006,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[17]/D,G2B_ONECH_C2H/desc_epoch_source_reg[3][17]/C,G2B_ONECH_C2H/desc_epoch_source_reg[1][17]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,"[""source descriptor completion followed by AXI-domain capture""]"
WARN-CHG-0007,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[19]/D,G2B_ONECH_C2H/desc_epoch_source_reg[3][19]/C,G2B_ONECH_C2H/desc_epoch_source_reg[1][19]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",BYTE_IDENTICAL_TO_R2R1_DIAGNOSTIC,"[""source descriptor completion followed by AXI-domain capture""]"
WARN-CHG-0008,CDC-15,Warning,G2B_ONECH_C2H/axis_epoch_reg[1]/D,G2B_ONECH_C2H/desc_epoch_source_reg[1][1]/C,G2B_ONECH_C2H/desc_epoch_source_reg[2][1]/C,"[{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""0"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""1"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""2"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""},{""Field"":""EPOCH"",""LeafFamily"":""DESCRIPTOR_EPOCH_STABLE_PAYLOAD"",""ParentFamily"":null,""Slot"":""3"",""SourceClock"":""nvp_vclk1"",""UseRole"":""DESCRIPTOR_COMMIT_CAPTURE""}]",SAME_FAMILY_REPRESENTATIVE_EQUIVALENCE,"[""source descriptor completion followed by AXI-domain capture""]"
