RequestIndex,RequestedBytes,ResultBytes,Result2,CompletionSequence,CompletionMonotonicNs,Classification
26,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
27,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
28,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
29,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
30,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
31,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
32,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
33,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
34,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
35,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
36,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
37,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
38,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
39,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
40,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
41,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
42,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
43,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
44,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
45,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
46,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
47,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
48,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
49,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
50,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
51,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
52,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
53,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
54,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
55,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
56,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
57,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
58,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
59,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
60,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
61,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
62,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
63,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
64,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
65,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
66,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
67,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
68,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
69,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
70,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
71,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
72,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
73,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
74,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
75,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
76,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
77,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
78,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
79,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
80,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
81,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
82,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
83,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
84,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
85,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
86,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
87,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
88,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
89,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
90,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
91,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
92,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
93,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
94,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
95,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
96,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
97,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
98,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
99,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
100,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
101,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
102,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
103,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
104,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
105,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
106,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
107,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
108,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
109,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
110,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
111,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
112,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
113,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
114,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
115,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
116,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
117,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
118,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
119,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
120,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
121,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
122,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
123,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
124,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
125,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
126,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
127,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
128,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
129,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
130,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
131,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
132,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
133,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
134,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
135,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
136,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
137,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
138,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
139,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
140,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
141,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
142,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
143,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
144,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
145,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
146,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
147,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
148,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
149,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
150,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
151,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
152,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
153,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
154,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
155,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
156,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
157,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
158,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
159,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
160,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
161,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
162,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
163,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
164,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
165,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
166,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
167,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
168,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
169,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
170,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
171,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
172,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
173,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
174,4096,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_DURABLY_REPORTED,NOT_PROVEN
