ScenarioIndex,OperationIndex,OperationID,FailureType,CommittedRegisterCount,UnresolvedCommittedRegisterCount,RecoveryPath,TerminalState,ClassificationReason
19,3,MODE1_0003_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,2,2,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
20,3,MODE1_0003_COMMON_WRITE,HOST_ABORT,2,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
21,3,MODE1_0003_COMMON_WRITE,MMIO_RESET,2,2,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
22,4,MODE1_0004_COMMON_WRITE,FAILURE_BEFORE_WRITE,2,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
23,4,MODE1_0004_COMMON_WRITE,NACK_DURING_WRITE,3,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
24,4,MODE1_0004_COMMON_WRITE,TIMEOUT_DURING_WRITE,3,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
25,4,MODE1_0004_COMMON_WRITE,READBACK_MISMATCH,3,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
26,4,MODE1_0004_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,3,2,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
27,4,MODE1_0004_COMMON_WRITE,HOST_ABORT,3,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
28,4,MODE1_0004_COMMON_WRITE,MMIO_RESET,3,2,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
29,5,MODE1_0005_COMMON_WRITE,FAILURE_BEFORE_WRITE,3,2,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22
30,5,MODE1_0005_COMMON_WRITE,NACK_DURING_WRITE,4,3,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30
31,5,MODE1_0005_COMMON_WRITE,TIMEOUT_DURING_WRITE,4,3,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30
32,5,MODE1_0005_COMMON_WRITE,READBACK_MISMATCH,4,3,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30
33,5,MODE1_0005_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,4,3,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
34,5,MODE1_0005_COMMON_WRITE,HOST_ABORT,4,3,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30
35,5,MODE1_0005_COMMON_WRITE,MMIO_RESET,4,3,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
36,6,MODE1_0006_COMMON_WRITE,FAILURE_BEFORE_WRITE,4,3,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30
37,6,MODE1_0006_COMMON_WRITE,NACK_DURING_WRITE,5,4,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34
38,6,MODE1_0006_COMMON_WRITE,TIMEOUT_DURING_WRITE,5,4,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34
39,6,MODE1_0006_COMMON_WRITE,READBACK_MISMATCH,5,4,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34
40,6,MODE1_0006_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,5,4,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
41,6,MODE1_0006_COMMON_WRITE,HOST_ABORT,5,4,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34
42,6,MODE1_0006_COMMON_WRITE,MMIO_RESET,5,4,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
43,7,MODE1_0007_COMMON_WRITE,FAILURE_BEFORE_WRITE,5,4,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34
44,7,MODE1_0007_COMMON_WRITE,NACK_DURING_WRITE,6,5,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93
45,7,MODE1_0007_COMMON_WRITE,TIMEOUT_DURING_WRITE,6,5,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93
46,7,MODE1_0007_COMMON_WRITE,READBACK_MISMATCH,6,5,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93
47,7,MODE1_0007_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,6,5,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
48,7,MODE1_0007_COMMON_WRITE,HOST_ABORT,6,5,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93
49,7,MODE1_0007_COMMON_WRITE,MMIO_RESET,6,5,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
50,8,MODE1_0008_COMMON_WRITE,FAILURE_BEFORE_WRITE,6,5,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93
51,8,MODE1_0008_COMMON_WRITE,NACK_DURING_WRITE,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
52,8,MODE1_0008_COMMON_WRITE,TIMEOUT_DURING_WRITE,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
53,8,MODE1_0008_COMMON_WRITE,READBACK_MISMATCH,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
54,8,MODE1_0008_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,7,6,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
55,8,MODE1_0008_COMMON_WRITE,HOST_ABORT,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
56,8,MODE1_0008_COMMON_WRITE,MMIO_RESET,7,6,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
57,9,MODE1_0009_COMMON_BANK_SELECT,FAILURE_BEFORE_WRITE,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
58,9,MODE1_0009_COMMON_BANK_SELECT,NACK_DURING_WRITE,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
59,9,MODE1_0009_COMMON_BANK_SELECT,TIMEOUT_DURING_WRITE,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
60,9,MODE1_0009_COMMON_BANK_SELECT,READBACK_MISMATCH,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
61,9,MODE1_0009_COMMON_BANK_SELECT,RESET_BETWEEN_OPERATIONS,7,6,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
62,9,MODE1_0009_COMMON_BANK_SELECT,HOST_ABORT,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
63,9,MODE1_0009_COMMON_BANK_SELECT,MMIO_RESET,7,6,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
64,10,MODE1_0010_COMMON_WRITE,FAILURE_BEFORE_WRITE,7,6,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4
65,10,MODE1_0010_COMMON_WRITE,NACK_DURING_WRITE,8,7,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00
66,10,MODE1_0010_COMMON_WRITE,TIMEOUT_DURING_WRITE,8,7,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00
67,10,MODE1_0010_COMMON_WRITE,READBACK_MISMATCH,8,7,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00
68,10,MODE1_0010_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,8,7,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
69,10,MODE1_0010_COMMON_WRITE,HOST_ABORT,8,7,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00
70,10,MODE1_0010_COMMON_WRITE,MMIO_RESET,8,7,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
71,11,MODE1_0011_COMMON_WRITE,FAILURE_BEFORE_WRITE,8,7,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00
72,11,MODE1_0011_COMMON_WRITE,NACK_DURING_WRITE,9,8,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01
73,11,MODE1_0011_COMMON_WRITE,TIMEOUT_DURING_WRITE,9,8,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01
74,11,MODE1_0011_COMMON_WRITE,READBACK_MISMATCH,9,8,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01
75,11,MODE1_0011_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,9,8,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
76,11,MODE1_0011_COMMON_WRITE,HOST_ABORT,9,8,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01
77,11,MODE1_0011_COMMON_WRITE,MMIO_RESET,9,8,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
78,12,MODE1_0012_COMMON_WRITE,FAILURE_BEFORE_WRITE,9,8,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01
79,12,MODE1_0012_COMMON_WRITE,NACK_DURING_WRITE,10,9,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01;0x05:0x05
80,12,MODE1_0012_COMMON_WRITE,TIMEOUT_DURING_WRITE,10,9,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01;0x05:0x05
81,12,MODE1_0012_COMMON_WRITE,READBACK_MISMATCH,10,9,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01;0x05:0x05
82,12,MODE1_0012_COMMON_WRITE,RESET_BETWEEN_OPERATIONS,10,9,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
83,12,MODE1_0012_COMMON_WRITE,HOST_ABORT,10,9,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01;0x05:0x05
84,12,MODE1_0012_COMMON_WRITE,MMIO_RESET,10,9,ABORTING->PRODUCT_RECONSTRUCTION_GAP->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,CALLABLE_RESET_AUTOINIT_OR_PERSISTENT_RECOVERY_CONTEXT_NOT_PROVEN
85,13,MODE1_0013_COMMON_WRITE,FAILURE_BEFORE_WRITE,10,9,ABORTING->UNRESOLVED_REGISTER_GATE->FATAL_RECOVERY_FAILURE,FATAL_RECOVERY_FAILURE,UNRESOLVED_COMMITTED_REGISTERS=0x00:0x00;0x00:0x22;0x00:0x30;0x00:0x34;0x00:0x93;0x00:0xA4;0x05:0x00;0x05:0x01;0x05:0x05
