RegisterIndex,Bank,Register,TouchCount,FirstOperationIndex,LastOperationIndex,OperationIndices,SourceSemanticFunctions,OperationTypes,RecoveryClass,RecoveryAction,SafeReadAuthority,ReadSideEffectAuthority,ProductReconstructionAuthority,EvidenceAuthority,Confidence,UnresolvedReason
15,0x00,0x48,1,71,71,71,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
16,0x00,0x4C,1,72,72,72,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
17,0x00,0x50,1,73,73,73,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
18,0x00,0x58,1,124,124,124,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
19,0x00,0x5C,1,125,125,125,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
20,0x00,0x64,2,89,126,89;126,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
21,0x00,0x81,1,117,117,117,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,EXACT_READ_RESTORE,CAPTURE_FULL_BYTE_BEFORE_FIRST_WRITE; REVERSE_RESTORE; VERIFY_0xFF,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,HIGH_FOR_READ_RESTORE_MODEL,
22,0x00,0x85,1,118,118,118,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,EXACT_READ_RESTORE,CAPTURE_FULL_BYTE_BEFORE_FIRST_WRITE; REVERSE_RESTORE; VERIFY_0xFF,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,HIGH_FOR_READ_RESTORE_MODEL,
23,0x00,0x89,1,127,127,127,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
24,0x00,0x8E,1,128,128,128,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
25,0x00,0x93,1,7,7,7,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
26,0x00,0xA0,1,129,129,129,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
27,0x00,0xA4,2,8,130,8;130,nvp6134_set_common_value;nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
28,0x01,0x84,1,111,111,111,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,EXACT_READ_RESTORE,CAPTURE_FULL_BYTE_BEFORE_FIRST_WRITE; REVERSE_RESTORE; VERIFY_0xFF,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,HIGH_FOR_READ_RESTORE_MODEL,
29,0x01,0x8C,1,112,112,112,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,EXACT_READ_RESTORE,CAPTURE_FULL_BYTE_BEFORE_FIRST_WRITE; REVERSE_RESTORE; VERIFY_0xFF,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,HIGH_FOR_READ_RESTORE_MODEL,
30,0x01,0xED,1,95,95,95,nvp6134_setchn_common_fhd,READ_MODIFY_WRITE,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,RMW_MASK_0x01_IS_SEMANTICALLY_EXACT_BUT_SAFE_READ_AND_RESTORE_ARE_NOT_NVP6134C_PROVEN
31,0x02,0x02,1,97,97,97,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
32,0x02,0x28,1,98,98,98,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
33,0x02,0x29,1,99,99,99,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
34,0x02,0x2A,1,100,100,100,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
35,0x02,0x2B,1,101,101,101,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
36,0x02,0x2C,1,102,102,102,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
37,0x05,0x00,2,10,56,10;56,nvp6134_set_common_value;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
38,0x05,0x01,2,11,57,11;57,nvp6134_set_common_value;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
39,0x05,0x05,1,12,12,12,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
40,0x05,0x08,1,13,13,13,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
41,0x05,0x0E,2,14,18,14;18,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
42,0x05,0x11,1,15,15,15,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
43,0x05,0x1B,2,75,136,75;136,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
44,0x05,0x20,2,76,137,76;137,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
45,0x05,0x23,1,16,16,16,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
