OperationIndex,OperationID,SourceSemanticFunction,Bank,Register,OperationType,Value,Mask,PreservedBits,Condition,DelayBefore,DelayAfter,RequiredInitialState,ExpectedReadback,ReadbackMask,RecoveryClass,RecoveryAction,EvidenceAuthority,Confidence,IncludedInMinimumMode1,ExclusionReason
11,MODE1_0011_COMMON_WRITE,nvp6134_set_common_value,0x05,0x01,WRITE_FULL,0x02,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x02,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
12,MODE1_0012_COMMON_WRITE,nvp6134_set_common_value,0x05,0x05,WRITE_FULL,0x24,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x24,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
13,MODE1_0013_COMMON_WRITE,nvp6134_set_common_value,0x05,0x08,WRITE_FULL,0x50,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x50,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
14,MODE1_0014_COMMON_WRITE,nvp6134_set_common_value,0x05,0x0E,WRITE_FULL,0x30,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x30,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
15,MODE1_0015_COMMON_WRITE,nvp6134_set_common_value,0x05,0x11,WRITE_FULL,0x06,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x06,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
16,MODE1_0016_COMMON_WRITE,nvp6134_set_common_value,0x05,0x23,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
17,MODE1_0017_COMMON_WRITE,nvp6134_set_common_value,0x05,0x2A,WRITE_FULL,0x52,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x52,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
18,MODE1_0018_COMMON_WRITE,nvp6134_set_common_value,0x05,0x0E,WRITE_FULL,0x30,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x30,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
19,MODE1_0019_COMMON_WRITE,nvp6134_set_common_value,0x05,0x58,WRITE_FULL,0x02,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x02,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
20,MODE1_0020_COMMON_WRITE,nvp6134_set_common_value,0x05,0x59,WRITE_FULL,0x11,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x11,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
21,MODE1_0021_COMMON_WRITE,nvp6134_set_common_value,0x05,0xB8,WRITE_FULL,0xB9,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0xB9,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
22,MODE1_0022_COMMON_WRITE,nvp6134_set_common_value,0x05,0xC8,WRITE_FULL,0x04,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x04,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
23,MODE1_0023_COMMON_BANK_SELECT,nvp6134_set_common_value,0x05,0xFF,WRITE_FULL,0x0A,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x0A,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; NVP6134C_DATASHEET; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC,YES,
24,MODE1_0024_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x74,WRITE_FULL,0x02,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x02,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
25,MODE1_0025_COMMON_BANK_SELECT,nvp6134_set_common_value,0x0A,0xFF,WRITE_FULL,0x09,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x09,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; NVP6134C_DATASHEET; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC,YES,
26,MODE1_0026_COMMON_WRITE,nvp6134_set_common_value,0x09,0x64,WRITE_FULL,0xB8,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0xB8,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
27,MODE1_0027_COMMON_WRITE,nvp6134_set_common_value,0x09,0x6A,WRITE_FULL,0x18,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x18,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
28,MODE1_0028_COMMON_WRITE,nvp6134_set_common_value,0x09,0x6B,WRITE_FULL,0x50,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x50,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
29,MODE1_0029_COMMON_WRITE,nvp6134_set_common_value,0x09,0x6C,WRITE_FULL,0xC0,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0xC0,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
30,MODE1_0030_COMMON_BANK_SELECT,nvp6134_set_common_value,0x09,0xFF,WRITE_FULL,0x09,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x09,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; NVP6134C_DATASHEET; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC,YES,
31,MODE1_0031_COMMON_WRITE,nvp6134_set_common_value,0x09,0x80,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
32,MODE1_0032_COMMON_WRITE,nvp6134_set_common_value,0x09,0x81,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
33,MODE1_0033_COMMON_BANK_SELECT,nvp6134_set_common_value,0x09,0xFF,WRITE_FULL,0x0A,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x0A,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; NVP6134C_DATASHEET; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC,YES,
34,MODE1_0034_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x60,WRITE_FULL,0x02,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x02,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
35,MODE1_0035_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x61,WRITE_FULL,0x01,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x01,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
36,MODE1_0036_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x62,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
37,MODE1_0037_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x63,WRITE_FULL,0x01,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x01,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
38,MODE1_0038_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x64,WRITE_FULL,0x03,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x03,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
39,MODE1_0039_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x65,WRITE_FULL,0xA0,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0xA0,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
40,MODE1_0040_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x66,WRITE_FULL,0x04,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x04,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
41,MODE1_0041_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x67,WRITE_FULL,0x03,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x03,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
