sequence_number,bank,register,target,baseline_pass_a,baseline_pass_b,agreement_rule,prewrite_rule,post_write_rule,post_rollback_rule,technical_authority,execution_status
17,0x00,0x50,B00:R50,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
18,0x00,0x58,B00:R58,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
19,0x00,0x5C,B00:R5C,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
20,0x00,0x64,B00:R64,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
21,0x00,0x81,B00:R81,FULL_BYTE_READ,FULL_BYTE_READ,EXACT,EXACT_BASELINE_EQUALITY_IF_CRITICAL,EXACT_OR_FROZEN_MASK,EXACT_BASELINE_EQUALITY,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
22,0x00,0x85,B00:R85,FULL_BYTE_READ,FULL_BYTE_READ,EXACT,EXACT_BASELINE_EQUALITY_IF_CRITICAL,EXACT_OR_FROZEN_MASK,EXACT_BASELINE_EQUALITY,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
23,0x00,0x89,B00:R89,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
24,0x00,0x8E,B00:R8E,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
25,0x00,0x93,B00:R93,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
26,0x00,0xA0,B00:RA0,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
27,0x00,0xA4,B00:RA4,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
28,0x01,0x84,B01:R84,FULL_BYTE_READ,FULL_BYTE_READ,EXACT,EXACT_BASELINE_EQUALITY_IF_CRITICAL,EXACT_OR_FROZEN_MASK,EXACT_BASELINE_EQUALITY,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
29,0x01,0x8C,B01:R8C,FULL_BYTE_READ,FULL_BYTE_READ,EXACT,EXACT_BASELINE_EQUALITY_IF_CRITICAL,EXACT_OR_FROZEN_MASK,EXACT_BASELINE_EQUALITY,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
30,0x01,0xA8,B01:RA8,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
31,0x01,0xBC,B01:RBC,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
32,0x01,0xC2,B01:RC2,FULL_BYTE_READ,FULL_BYTE_READ,EXACT,EXACT_BASELINE_EQUALITY_IF_CRITICAL,EXACT_OR_FROZEN_MASK,EXACT_BASELINE_EQUALITY,ACCEPTED_DIAG1_DIAG2_FULL_BYTE_SAVE_MASKED_ROUTE_RESTORE,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
33,0x01,0xED,B01:RED,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
34,0x02,0x02,B02:R02,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
35,0x02,0x28,B02:R28,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
36,0x02,0x29,B02:R29,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
37,0x02,0x2A,B02:R2A,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
38,0x02,0x2B,B02:R2B,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
39,0x02,0x2C,B02:R2C,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
40,0x03,0x00,B03:R00,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
41,0x03,0x03,B03:R03,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
42,0x03,0x05,B03:R05,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
43,0x03,0x0A,B03:R0A,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
44,0x03,0x0B,B03:R0B,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
45,0x03,0x0D,B03:R0D,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
46,0x03,0x0E,B03:R0E,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
47,0x03,0x2F,B03:R2F,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
48,0x03,0x3A,B03:R3A,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
49,0x03,0x60,B03:R60,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
50,0x03,0x62,B03:R62,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
51,0x03,0x63,B03:R63,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
52,0x03,0x64,B03:R64,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
53,0x03,0x66,B03:R66,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
54,0x03,0x67,B03:R67,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
55,0x03,0x68,B03:R68,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
56,0x05,0x00,B05:R00,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
57,0x05,0x01,B05:R01,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
58,0x05,0x05,B05:R05,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
59,0x05,0x08,B05:R08,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
60,0x05,0x0E,B05:R0E,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
61,0x05,0x11,B05:R11,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
62,0x05,0x1B,B05:R1B,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
63,0x05,0x20,B05:R20,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
64,0x05,0x23,B05:R23,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
65,0x05,0x24,B05:R24,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
66,0x05,0x25,B05:R25,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
67,0x05,0x26,B05:R26,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
68,0x05,0x27,B05:R27,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
69,0x05,0x29,B05:R29,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
70,0x05,0x2A,B05:R2A,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
71,0x05,0x2B,B05:R2B,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
72,0x05,0x2F,B05:R2F,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
73,0x05,0x30,B05:R30,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
74,0x05,0x31,B05:R31,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
75,0x05,0x32,B05:R32,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
76,0x05,0x47,B05:R47,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
77,0x05,0x50,B05:R50,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
78,0x05,0x57,B05:R57,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
79,0x05,0x58,B05:R58,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
80,0x05,0x59,B05:R59,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
81,0x05,0x5B,B05:R5B,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
82,0x05,0x5F,B05:R5F,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
83,0x05,0x69,B05:R69,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
84,0x05,0x6E,B05:R6E,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
85,0x05,0x6F,B05:R6F,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
86,0x05,0x75,B05:R75,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
87,0x05,0x76,B05:R76,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
88,0x05,0x7C,B05:R7C,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
89,0x05,0x7D,B05:R7D,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
90,0x05,0x84,B05:R84,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
91,0x05,0x86,B05:R86,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
92,0x05,0x90,B05:R90,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
93,0x05,0x9B,B05:R9B,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
94,0x05,0xB5,B05:RB5,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
95,0x05,0xB7,B05:RB7,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
96,0x05,0xB8,B05:RB8,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
97,0x05,0xBB,B05:RBB,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
98,0x05,0xC0,B05:RC0,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
99,0x05,0xC1,B05:RC1,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
