rollback_sequence,bank,register,target,last_forward_touch,restore_operation,baseline_value_source,preserved_bits,required_post_restore_readback,authority_status,execution_status
22,0x03,0x0D,B03:R0D,MODE:177:ACP_BAUD,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
23,0x03,0x03,B03:R03,MODE:176:ACP_BAUD,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
24,0x03,0x00,B03:R00,MODE:175:ACP_BAUD,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
25,0x05,0x7C,B05:R7C,MODE:173:ACP_BAUD,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
26,0x05,0x7D,B05:R7D,MODE:171:ACP_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
27,0x05,0x32,B05:R32,MODE:169:ACP_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
28,0x05,0x31,B05:R31,MODE:168:ACP_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
29,0x05,0x30,B05:R30,MODE:167:ACP_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
30,0x05,0x2F,B05:R2F,MODE:166:ACP_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
31,0x01,0xBC,B01:RBC,MODE:164:ACP_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
32,0x01,0xA8,B01:RA8,MODE:163:ACP_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
33,0x09,0x53,B09:R53,MODE:159:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
34,0x09,0x52,B09:R52,MODE:158:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
35,0x09,0x51,B09:R51,MODE:157:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
36,0x09,0x50,B09:R50,MODE:156:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
37,0x05,0xD1,B05:RD1,MODE:154:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
38,0x05,0xBB,B05:RBB,MODE:153:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
39,0x05,0xB8,B05:RB8,MODE:152:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
40,0x05,0xB7,B05:RB7,MODE:151:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
41,0x05,0xB5,B05:RB5,MODE:150:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
42,0x05,0x9B,B05:R9B,MODE:149:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
43,0x05,0x90,B05:R90,MODE:148:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
44,0x05,0x86,B05:R86,MODE:147:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
45,0x05,0x84,B05:R84,MODE:146:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
46,0x05,0x75,B05:R75,MODE:145:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
47,0x05,0x5F,B05:R5F,MODE:144:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
48,0x05,0x58,B05:R58,MODE:143:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
49,0x05,0x2A,B05:R2A,MODE:142:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
50,0x05,0x29,B05:R29,MODE:141:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
51,0x05,0x26,B05:R26,MODE:140:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
52,0x05,0x25,B05:R25,MODE:139:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
53,0x05,0x24,B05:R24,MODE:138:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
54,0x05,0x20,B05:R20,MODE:137:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
55,0x05,0x1B,B05:R1B,MODE:136:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
56,0x09,0x99,B09:R99,MODE:134:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
57,0x09,0x98,B09:R98,MODE:133:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
58,0x09,0x97,B09:R97,MODE:132:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
59,0x00,0xA4,B00:RA4,MODE:130:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
60,0x00,0xA0,B00:RA0,MODE:129:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
61,0x00,0x8E,B00:R8E,MODE:128:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
62,0x00,0x89,B00:R89,MODE:127:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
63,0x00,0x64,B00:R64,MODE:126:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
64,0x00,0x5C,B00:R5C,MODE:125:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
65,0x00,0x58,B00:R58,MODE:124:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
66,0x00,0x30,B00:R30,MODE:123:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
67,0x05,0x50,B05:R50,MODE:121:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
68,0x05,0x47,B05:R47,MODE:120:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
69,0x00,0x85,B00:R85,MODE:118:AHD1080P25,WRITE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,FUNCTIONAL_BASELINE_A_AND_B,FULL_BYTE_RESTORE,EXACT_BASELINE_EQUALITY,AUTHORIZED,NOT_REACHED
70,0x00,0x81,B00:R81,MODE:117:AHD1080P25,WRITE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,FUNCTIONAL_BASELINE_A_AND_B,FULL_BYTE_RESTORE,EXACT_BASELINE_EQUALITY,AUTHORIZED,NOT_REACHED
71,0x00,0x40,B00:R40,MODE:116:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
72,0x00,0x08,B00:R08,MODE:115:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
73,0x00,0x18,B00:R18,MODE:114:AHD1080P25,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
74,0x01,0x8C,B01:R8C,MODE:112:AHD1080P25,WRITE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,FUNCTIONAL_BASELINE_A_AND_B,FULL_BYTE_RESTORE,EXACT_BASELINE_EQUALITY,AUTHORIZED,NOT_REACHED
75,0x01,0x84,B01:R84,MODE:111:AHD1080P25,WRITE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,FUNCTIONAL_BASELINE_A_AND_B,FULL_BYTE_RESTORE,EXACT_BASELINE_EQUALITY,AUTHORIZED,NOT_REACHED
76,0x11,0x00,B11:R00,MODE:109:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
77,0x09,0x44,B09:R44,MODE:106:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,preserve all bits except CH1 bit; old byte required,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
78,0x02,0x2C,B02:R2C,MODE:102:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
79,0x02,0x2B,B02:R2B,MODE:101:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
80,0x02,0x2A,B02:R2A,MODE:100:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
81,0x02,0x29,B02:R29,MODE:99:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
82,0x02,0x28,B02:R28,MODE:98:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
83,0x02,0x02,B02:R02,MODE:97:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
84,0x01,0xED,B01:RED,MODE:95:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,preserve all bits except CH1 bit; old byte required,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
85,0x05,0x6F,B05:R6F,MODE:92:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
86,0x05,0x6E,B05:R6E,MODE:91:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
87,0x05,0xD4,B05:RD4,MODE:86:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
88,0x05,0x2B,B05:R2B,MODE:84:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
89,0x05,0x57,B05:R57,MODE:81:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
90,0x05,0x76,B05:R76,MODE:80:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
91,0x05,0x27,B05:R27,MODE:78:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
92,0x00,0x50,B00:R50,MODE:73:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
93,0x00,0x4C,B00:R4C,MODE:72:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
94,0x00,0x48,B00:R48,MODE:71:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
95,0x00,0x44,B00:R44,MODE:70:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
96,0x00,0x3C,B00:R3C,MODE:69:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
97,0x00,0x22,B00:R22,MODE:68:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
98,0x00,0x21,B00:R21,MODE:67:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
99,0x00,0x14,B00:R14,MODE:65:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
100,0x00,0x10,B00:R10,MODE:64:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
101,0x00,0x0C,B00:R0C,MODE:63:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
102,0x05,0x69,B05:R69,MODE:61:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
103,0x05,0x5B,B05:R5B,MODE:60:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
104,0x05,0x01,B05:R01,MODE:57:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
105,0x05,0x00,B05:R00,MODE:56:FHD_COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
106,0x0A,0x72,B0A:R72,MODE:52:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
107,0x0A,0x71,B0A:R71,MODE:51:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
