Signal,Direction,FPGA_Bank,FPGA_Preconfig_State_PUDC_LOW,FPGA_Preconfig_State_PUDC_HIGH,NVP_Rail_Off,Potential_Injection,External_Default_Required,Recommended_Default,Evidence,Status
VDO2[0],NVP->FPGA,14 (R18/RDWR_B),HZ + weak pull-up only if RDWR_B configuration role is inactive,HZ only if configuration role is inactive,VDD3D=OFF and VDD1D=OFF,YES; configuration-role drive also must be excluded,NO,Avoid active config role; no external bias; PUDC HIGH,"PCB-PIN proposed map; exact package function from A35T database",REQUIRES_CONFIG_PIN_AND_NVP_CONFIRMATION
VDO2[1],NVP->FPGA,14 (U15 preferred; T15 prior candidate),HZ + weak pull-up if inactive in confirmed mode,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,Use PCB-PIN preferred mapping; no external bias; PUDC HIGH,"PCB-PIN-0/1 preferred U15 replacement for T15",REQUIRES_FINAL_PINMAP_CONFIRMATION
VDO2[2],NVP->FPGA,14 (T18/DOUT_CSO_B),Configuration-function-dependent; do not assume HZ + pull-up,Configuration-function-dependent; HIGH does not disable an active config output,VDD3D=OFF and VDD1D=OFF,YES if configuration function drives or if a pull is enabled,NO,Avoid this off-domain connection unless UG470 mode/daisy-chain behavior is proven,"Exact A35T PIN_FUNC DOUT_CSO_B; proposed map conflicts with configuration role",REQUIRES_CONFIG_PIN_REMAP_OR_PROOF
VDO2[3],NVP->FPGA,14 (T17/CSI_B),Configuration-function-dependent; do not assume HZ + pull-up,Configuration-function-dependent; HIGH does not disable an active config function,VDD3D=OFF and VDD1D=OFF,YES/UNRESOLVED,NO,Avoid this off-domain connection unless exact Master-SPI behavior is proven,"Exact A35T PIN_FUNC CSI_B; proposed map conflicts with configuration role",REQUIRES_CONFIG_PIN_REMAP_OR_PROOF
VDO2[4],NVP->FPGA,14 (U17/D31),HZ + weak pull-up if parallel-configuration role inactive,HZ with no global pull if role inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; also conflicts with active MPP mapping,NO,No external bias; resolve VDO/MPP pin ownership,"PCB-PIN proposed VDO2 map vs active-XDC MPP mapping",REQUIRES_MAPPING_AND_NVP_CONFIRMATION
VDO2[5],NVP->FPGA,14 (V17/D27),HZ + weak pull-up if parallel-configuration role inactive,HZ with no global pull if role inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; also conflicts with active MPP mapping,NO,No external bias; resolve VDO/MPP pin ownership,"PCB-PIN proposed VDO2 map vs active-XDC MPP mapping",REQUIRES_MAPPING_AND_NVP_CONFIRMATION
VDO2[6],NVP->FPGA,14 (U16/D29),HZ + weak pull-up if parallel-configuration role inactive,HZ with no global pull if role inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; also conflicts with active MPP mapping,NO,No external bias; resolve VDO/MPP pin ownership,"PCB-PIN proposed VDO2 map vs active-XDC MPP mapping",REQUIRES_MAPPING_AND_NVP_CONFIRMATION
VDO2[7],NVP->FPGA,14 (V16/D28),HZ + weak pull-up if parallel-configuration role inactive,HZ with no global pull if role inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; also conflicts with active MPP mapping,NO,No external bias; resolve VDO/MPP pin ownership,"PCB-PIN proposed VDO2 map vs active-XDC MPP mapping",REQUIRES_MAPPING_AND_NVP_CONFIRMATION
RSTB,FPGA->NVP,14 (L18 proposed),HZ + weak pull-up,HZ with no global pull,VDD3D=OFF,YES; NVP digital input max is VDD3D+0.5 V and no Ioff is specified,YES,Pull-down to assert reset; FPGA may drive high only after VDD3D valid,"NVP datasheet pp9 and 89-90; active-low; 1 us min low pulse; 10 us release timing",RECOMMENDED_SAFE_STATE_DEFINED
IRQ,NVP->FPGA,14 (K17 proposed),HZ + weak pull-up,HZ with no global pull,VDD3D=OFF,UNRESOLVED; output pad type and power-off state unknown,CONDITIONAL,No pull until topology known; if open-drain use switched VDD3D pull or isolate,"NVP datasheet p9 says output only; no open-drain/push-pull/Ioff specification",REQUIRES_NVP_DATASHEET_CONFIRMATION
SDA,Bidirectional open-drain intended,14 (M17 proposed; active XDC T18),HZ + weak pull-up if inactive config role,HZ with no global pull if inactive,VDD3D=OFF,YES on NVP digital/bidir input; active-XDC T18 also has DOUT_CSO_B uncertainty,YES,Pull-up to switched NVP VDD3D; FPGA high-Z while off; use M17 proposed map,"NVP datasheet pp10 and 89; active source uses low-only IOBUF; PCB-PIN proposed M17",CONFIRMED_WITH_ADDITIONAL_CONSTRAINTS
SCL,FPGA open-drain->NVP,14 (N17 proposed; active XDC T17),HZ + weak pull-up if inactive config role,HZ with no global pull if inactive,VDD3D=OFF,YES on NVP digital input; active-XDC T17 also has CSI_B uncertainty,YES,Pull-up to switched NVP VDD3D; FPGA high-Z while off; use N17 proposed map,"NVP datasheet pp10 and 89; active source uses low-only IOBUF; PCB-PIN proposed N17",CONFIRMED_WITH_ADDITIONAL_CONSTRAINTS
SYS_CLK,FPGA->NVP,15 (A14 proposed),HZ + weak pull-up if AD10N role inactive,HZ with no global pull if role inactive,VDD3D=OFF,YES; NVP digital input max is VDD3D+0.5 V and no Ioff is specified,YES,External pull-down; configured ODDR/OLOGIC INIT=0; drive only with VDD3D valid,"NVP datasheet pp9 and 89-90; PCB-PIN D13->A14 architecture",CONFIRMED_WITH_ADDITIONAL_CONSTRAINTS
EN_VDD1x,FPGA->regulator,15 (A9),HZ + weak pull-up,HZ with no global pull,NVP VDD1D=OFF,POTENTIAL unintended enable and regulator-input domain injection,YES,Pull to regulator's proven inactive state; pull-down if archived active-high polarity is retained,"Archive U2 ENLDO2 connection supports active-high; final regulator circuit not proven",REQUIRES_FINAL_POLARITY_AND_DOMAIN_CONFIRMATION
EN_VDD3x,FPGA->regulator,15 (A10),HZ + weak pull-up,HZ with no global pull,NVP VDD3D=OFF,POTENTIAL unintended enable and regulator-input domain injection,YES,Pull to regulator's proven inactive state; pull-down if archived active-high polarity is retained,"Archive U3 ON connection supports active-high; final regulator circuit not proven",REQUIRES_FINAL_POLARITY_AND_DOMAIN_CONFIRMATION
MPP1,NVP->FPGA,14 (V16 active XDC),HZ + weak pull-up if D28 role inactive,HZ with no global pull if inactive,VDD3D=OFF,YES/UNRESOLVED; NVP output lacks powered-off spec,NO,No permanent bias; resolve conflict with proposed VDO2[7],"NVP datasheet p9 output; active XDC vs proposed two-channel map",REQUIRES_MAPPING_RESOLUTION
MPP2,NVP->FPGA,14 (V17 active XDC),HZ + weak pull-up if D27 role inactive,HZ with no global pull if inactive,VDD3D=OFF,YES/UNRESOLVED; NVP output lacks powered-off spec,NO,No permanent bias; resolve conflict with proposed VDO2[5],"NVP datasheet p9 output; active XDC vs proposed two-channel map",REQUIRES_MAPPING_RESOLUTION
MPP3,NVP->FPGA,14 (U16 active XDC),HZ + weak pull-up if D29 role inactive,HZ with no global pull if inactive,VDD3D=OFF,YES/UNRESOLVED; NVP output lacks powered-off spec,NO,No permanent bias; resolve conflict with proposed VDO2[6],"NVP datasheet p9 output; active XDC vs proposed two-channel map",REQUIRES_MAPPING_RESOLUTION
MPP4,NVP->FPGA,14 (U17 active XDC),HZ + weak pull-up if D31 role inactive,HZ with no global pull if inactive,VDD3D=OFF,YES/UNRESOLVED; NVP output lacks powered-off spec,NO,No permanent bias; resolve conflict with proposed VDO2[4],"NVP datasheet p9 output; active XDC vs proposed two-channel map",REQUIRES_MAPPING_RESOLUTION
