Offset,Register,Access,Reset_Value,Width,Field,Bits,Meaning,Valid_States,Error_Behavior
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,PRBS31_SUPPORTED,11:11,future implementation capability,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,RUNTIME_MODE_SWITCH_SUPPORTED,12:12,future implementation capability,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C08,DIAG_CAPABILITIES,RO,0x00001BF8,32,RESERVED_ZERO,31:13,zero,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C0C,BUILD_PROFILE,RO,0x00000003,32,BUILD_PROFILE,31:0,"1 PRODUCT,2 RESEARCH_DIAGNOSTIC,3 HW0_DIAGNOSTIC; this image3",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C10,TRANSPORT_ABI_VERSION,RO,0x00010000,32,TRANSPORT_ABI_VERSION,31:0,unchanged ABI1.0,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C14,BUILD_FLAGS,RO,0x00000402,32,BUILD_FLAGS,31:0,bit0 dirty=0; bit1 manifest verified=1; HW0 diagnostic bit10=1; research bit9 and PRODUCT bit8 clear,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C18,AXI_CLOCK_HZ,RO,0x03B9ACA0,32,AXI_CLOCK_HZ,31:0,required configured user clock,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C1C,IDENTITY_SCHEMA,RO,0x00010000,32,IDENTITY_SCHEMA,31:0,source commit identity encoding1.0,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C20,SOURCE_COMMIT_W0,RO,0x00000000,32,SOURCE_COMMIT_W0,31:0,build-injected SHA word0; numeric hex characters 0..7; zero is invalid identity,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C24,SOURCE_COMMIT_W1,RO,0x00000000,32,SOURCE_COMMIT_W1,31:0,build-injected SHA word1; numeric hex characters 8..15; zero is invalid identity,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C28,SOURCE_COMMIT_W2,RO,0x00000000,32,SOURCE_COMMIT_W2,31:0,build-injected SHA word2; numeric hex characters 16..23; zero is invalid identity,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C2C,SOURCE_COMMIT_W3,RO,0x00000000,32,SOURCE_COMMIT_W3,31:0,build-injected SHA word3; numeric hex characters 24..31; zero is invalid identity,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C30,SOURCE_COMMIT_W4,RO,0x00000000,32,SOURCE_COMMIT_W4,31:0,build-injected SHA word4; numeric hex characters 32..39; zero is invalid identity,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C34,DIAG_FIRMWARE_VERSION,RO,0x00010000,32,DIAG_FIRMWARE_VERSION,31:0,diagnostic firmware release1.0; change for future implementation revisions,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C38,MMIO_RANGE_BYTES,RO,0x00000400,32,MMIO_RANGE_BYTES,31:0,this block size,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C3C,BUILD_ID_VALID,RO,0x00000000,32,BUILD_ID_VALID,31:0,build-injected1 only for clean committed full rebuild matching legacy identity,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C40,COMMAND,WO,0x00000000,32,COMMAND,31:0,"1 START,2 STOP_GRACEFUL,3 ABORT,4 CLEAR_RUN_STATUS,5 SNAPSHOT_COUNTERS",ALL,Full command DWORD required
0x3C44,STATUS,RO,0x00000000,32,STATE,7:0,state enum in contract,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C44,STATUS,RO,0x00000000,32,ACTIVE_VALID,8:8,successful START snapshot exists,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C44,STATUS,RO,0x00000000,32,SNAPSHOT_BUSY,9:9,snapshot command pending,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C44,STATUS,RO,0x00000000,32,SNAPSHOT_VALID,10:10,snapshot bank initialized,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C44,STATUS,RO,0x00000000,32,SOURCE_QUARANTINED,11:11,live tokens awaiting clock/epoch retirement,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C44,STATUS,RO,0x00000000,32,FATAL,12:12,external reset/new session required,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C44,STATUS,RO,0x00000000,32,RESERVED_ZERO,31:13,zero,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,INVALID_CONFIG,0:0,INVALID_CONFIG,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,ILLEGAL_COMMAND,1:1,ILLEGAL_COMMAND,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,BUSY_CONFIG_CHANGE,2:2,BUSY_CONFIG_CHANGE,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,NVP_INIT_NOT_COMPLETE,3:3,NVP_INIT_NOT_COMPLETE,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,NO_INPUT_AVAILABLE,4:4,NO_INPUT_AVAILABLE,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,INPUT_LOCK_TIMEOUT,5:5,INPUT_LOCK_TIMEOUT,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,INPUT_FORMAT_UNSUPPORTED,6:6,INPUT_FORMAT_UNSUPPORTED,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,SOURCE_LOST,7:7,SOURCE_LOST,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,SCAN_EXHAUSTED,8:8,SCAN_EXHAUSTED,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,PATTERN_ERROR,9:9,PATTERN_ERROR,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,RING_OVERFLOW,10:10,RING_OVERFLOW,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,RECORD_DROP,11:11,RECORD_DROP,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,SEQUENCE_ERROR,12:12,SEQUENCE_ERROR,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,ABORTED_RUN,13:13,ABORTED_RUN,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,AXI_PROTOCOL_ERROR,14:14,AXI_PROTOCOL_ERROR,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,INTERNAL_FATAL,15:15,INTERNAL_FATAL,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,I2C_ERROR,16:16,I2C_ERROR,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,PACE_OVERRUN,17:17,PACE_OVERRUN,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,COUNTER_OVERFLOW,18:18,COUNTER_OVERFLOW,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,LEGACY_CONTROL_CONFLICT,19:19,LEGACY_CONTROL_CONFLICT,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C48,ERROR_FLAGS,RO,0x00000000,32,RESERVED_ZERO,31:20,zero,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C4C,LAST_COMMAND_RESULT,RO,0x00000000,32,LAST_COMMAND_RESULT,31:0,"0 NONE,1 PENDING,2 OK,3 CONFIG_ERROR,4 ILLEGAL_STATE,5 BAD_ACCESS,6 FATAL_LATCHED,7 UNSUPPORTED_CAPABILITY,8 CANCELLED",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C50,COMMAND_SEQUENCE,RO,0x00000000,32,COMMAND_SEQUENCE,31:0,u32 increment each command-port write including rejected commands; poll result after readback fence,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C54,SNAPSHOT_SEQUENCE,RO,0x00000000,32,SNAPSHOT_SEQUENCE,31:0,u32 increments after atomic snapshot publish; host serializes requests,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C58,COMPLETION_REASON,RO,0x00000000,32,COMPLETION_REASON,31:0,"0 NONE,1 COUNT_LIMIT,2 TIME_LIMIT,3 HOST_STOP,4 ABORT,5 SOURCE_ERROR,6 FATAL,7 SCHEDULE_FINISHED",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C5C,CONFIG_ERROR_FIELD,RO,0x00000000,32,CONFIG_ERROR_FIELD,31:0,0 none; otherwise1+shadow register index,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C60,CONFIG_ERROR_DETAIL,RO,0x00000000,32,CONFIG_ERROR_DETAIL,31:0,"0 none,1 RANGE,2 ENUM,3 MASKED_INPUT,4 SCAN_PERMUTATION,5 STABILITY_TIMEOUT,6 MODE_RATE,7 CAPABILITY,8 INVALID_INPUT",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C64,FIRST_ERROR_CODE,RO,0x00000000,32,FIRST_ERROR_CODE,31:0,"0 none;1+error bit index, retained until successful START",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C68,FIRST_ERROR_INPUT,RO,0xFFFFFFFF,32,FIRST_ERROR_INPUT,31:0,0..3; ffffffff not a live input,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C6C,NVP_PLAN_STATUS,RO,0x00000000,32,NVP_PLAN_STATUS,31:0,"0 unresolved,1 authoritative runtime recipe and board mapping verified; build constant",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C70,TRANSPORT_EPOCH,RO,0x00000000,32,TRANSPORT_EPOCH,31:0,frozen snapshot ABI epoch32,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C74,I2C_FAILURE,RO,0x00000000,32,I2C_FAILURE,31:0,"snapshot packed bank[7:0],reg[15:8],phase[23:16],reason[31:24]; phase0none1select2verify3read4write5restore; reason0none1nack2timeout3mismatch4bus_stuck",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C78,SNAPSHOT_SOURCE_VALID,RO,0x00000000,32,SNAPSHOT_SOURCE_VALID,31:0,"snapshot bits0AXI(always1 once valid),1live status fresh,2live mailbox coherent; upper zero",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C7C,RECORD_BYTES,RO,0x00001000,32,RECORD_BYTES,31:0,frozen record geometry,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3C80,SOURCE_MODE_SHADOW,RW,0x00000002,32,SOURCE_MODE_SHADOW,31:0,runtime source,ALL,Byte enables merge; configuration validated at START
0x3C84,LIVE_INPUT_MODE_SHADOW,RW,0x00000000,32,LIVE_INPUT_MODE_SHADOW,31:0,manual or automatic acquisition,ALL,Byte enables merge; configuration validated at START
0x3C88,LIVE_INPUT_SELECT_SHADOW,RW,0x00000000,32,LIVE_INPUT_SELECT_SHADOW,31:0,selected enabled manual decoder,ALL,Byte enables merge; configuration validated at START
0x3C8C,SCAN_MASK_SHADOW,RW,0x0000000F,32,SCAN_MASK_SHADOW,31:0,enabled decoder bitmap,ALL,Byte enables merge; configuration validated at START
0x3C90,PREFERRED_INPUT_SHADOW,RW,0x00000000,32,PREFERRED_INPUT_SHADOW,31:0,auto preferred decoder; ffffffff none,ALL,Byte enables merge; configuration validated at START
0x3C94,SCAN_ORDER_SHADOW,RW,0x000000E4,32,SCAN_ORDER_SHADOW,31:0,remaining auto order,ALL,Byte enables merge; configuration validated at START
0x3C98,LOSS_POLICY_SHADOW,RW,0x00000000,32,LOSS_POLICY_SHADOW,31:0,source loss behavior,ALL,Byte enables merge; configuration validated at START
0x3C9C,LOCK_TIMEOUT_MS_SHADOW,RW,0x000007D0,32,LOCK_TIMEOUT_MS_SHADOW,31:0,candidate/acquisition deadline,ALL,Byte enables merge; configuration validated at START
0x3CA0,LOCK_STABLE_MS_SHADOW,RW,0x00000064,32,LOCK_STABLE_MS_SHADOW,31:0,continuous sampled eligibility time,ALL,Byte enables merge; configuration validated at START
0x3CA4,PATTERN_MODE_SHADOW,RW,0x00000000,32,PATTERN_MODE_SHADOW,31:0,mode-specific deterministic pattern,ALL,Byte enables merge; configuration validated at START
0x3CA8,RATE_MODE_SHADOW,RW,0x00000001,32,RATE_MODE_SHADOW,31:0,record requires1; live requires0; video0/1,ALL,Byte enables merge; configuration validated at START
0x3CAC,FRAME_LIMIT_SHADOW,RW,0x00000001,32,FRAME_LIMIT_SHADOW,31:0,per-cycle full video frames;0 continuous; ignored record,ALL,Byte enables merge; configuration validated at START
0x3CB0,RECORD_LIMIT_SHADOW,RW,0x00000001,32,RECORD_LIMIT_SHADOW,31:0,per-cycle records;0 continuous; ignored video,ALL,Byte enables merge; configuration validated at START
0x3CB4,RUN_TIME_MS_SHADOW,RW,0x00000000,32,RUN_TIME_MS_SHADOW,31:0,0 disables timer,ALL,Byte enables merge; configuration validated at START
0x3CB8,PAUSE_TIME_MS_SHADOW,RW,0x00000000,32,PAUSE_TIME_MS_SHADOW,31:0,pause after clean drain,ALL,Byte enables merge; configuration validated at START
0x3CBC,CYCLE_COUNT_SHADOW,RW,0x00000001,32,CYCLE_COUNT_SHADOW,31:0,0 infinite when scheduler enabled,ALL,Byte enables merge; configuration validated at START
0x3CC0,SCHEDULER_ENABLE_SHADOW,RW,0x00000000,32,SCHEDULER_ENABLE_SHADOW,31:0,0 single cycle without pause,ALL,Byte enables merge; configuration validated at START
0x3CC4,RESERVED_0C4,RO,0x00000000,32,RESERVED_0C4,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CC8,RESERVED_0C8,RO,0x00000000,32,RESERVED_0C8,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CCC,RESERVED_0CC,RO,0x00000000,32,RESERVED_0CC,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CD0,RESERVED_0D0,RO,0x00000000,32,RESERVED_0D0,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CD4,RESERVED_0D4,RO,0x00000000,32,RESERVED_0D4,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CD8,RESERVED_0D8,RO,0x00000000,32,RESERVED_0D8,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CDC,RESERVED_0DC,RO,0x00000000,32,RESERVED_0DC,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CE0,RESERVED_0E0,RO,0x00000000,32,RESERVED_0E0,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CE4,RESERVED_0E4,RO,0x00000000,32,RESERVED_0E4,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CE8,RESERVED_0E8,RO,0x00000000,32,RESERVED_0E8,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CEC,RESERVED_0EC,RO,0x00000000,32,RESERVED_0EC,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CF0,RESERVED_0F0,RO,0x00000000,32,RESERVED_0F0,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CF4,RESERVED_0F4,RO,0x00000000,32,RESERVED_0F4,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CF8,RESERVED_0F8,RO,0x00000000,32,RESERVED_0F8,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3CFC,RESERVED_0FC,RO,0x00000000,32,RESERVED_0FC,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D00,SOURCE_MODE_ACTIVE,RO,0x00000000,32,SOURCE_MODE_ACTIVE,31:0,runtime source; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D04,LIVE_INPUT_MODE_ACTIVE,RO,0x00000000,32,LIVE_INPUT_MODE_ACTIVE,31:0,manual or automatic acquisition; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D08,LIVE_INPUT_SELECT_ACTIVE,RO,0x00000000,32,LIVE_INPUT_SELECT_ACTIVE,31:0,selected enabled manual decoder; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D0C,SCAN_MASK_ACTIVE,RO,0x00000000,32,SCAN_MASK_ACTIVE,31:0,enabled decoder bitmap; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D10,PREFERRED_INPUT_ACTIVE,RO,0x00000000,32,PREFERRED_INPUT_ACTIVE,31:0,auto preferred decoder; ffffffff none; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D14,SCAN_ORDER_ACTIVE,RO,0x00000000,32,SCAN_ORDER_ACTIVE,31:0,remaining auto order; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D18,LOSS_POLICY_ACTIVE,RO,0x00000000,32,LOSS_POLICY_ACTIVE,31:0,source loss behavior; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D1C,LOCK_TIMEOUT_MS_ACTIVE,RO,0x00000000,32,LOCK_TIMEOUT_MS_ACTIVE,31:0,candidate/acquisition deadline; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D20,LOCK_STABLE_MS_ACTIVE,RO,0x00000000,32,LOCK_STABLE_MS_ACTIVE,31:0,continuous sampled eligibility time; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D24,PATTERN_MODE_ACTIVE,RO,0x00000000,32,PATTERN_MODE_ACTIVE,31:0,mode-specific deterministic pattern; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D28,RATE_MODE_ACTIVE,RO,0x00000000,32,RATE_MODE_ACTIVE,31:0,record requires1; live requires0; video0/1; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D2C,FRAME_LIMIT_ACTIVE,RO,0x00000000,32,FRAME_LIMIT_ACTIVE,31:0,per-cycle full video frames;0 continuous; ignored record; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D30,RECORD_LIMIT_ACTIVE,RO,0x00000000,32,RECORD_LIMIT_ACTIVE,31:0,per-cycle records;0 continuous; ignored video; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D34,RUN_TIME_MS_ACTIVE,RO,0x00000000,32,RUN_TIME_MS_ACTIVE,31:0,0 disables timer; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D38,PAUSE_TIME_MS_ACTIVE,RO,0x00000000,32,PAUSE_TIME_MS_ACTIVE,31:0,pause after clean drain; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D3C,CYCLE_COUNT_ACTIVE,RO,0x00000000,32,CYCLE_COUNT_ACTIVE,31:0,0 infinite when scheduler enabled; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D40,SCHEDULER_ENABLE_ACTIVE,RO,0x00000000,32,SCHEDULER_ENABLE_ACTIVE,31:0,0 single cycle without pause; invalid until ACTIVE_VALID,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D44,RESERVED_144,RO,0x00000000,32,RESERVED_144,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D48,RESERVED_148,RO,0x00000000,32,RESERVED_148,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D4C,RESERVED_14C,RO,0x00000000,32,RESERVED_14C,31:0,"reserved; read0, writes ignored with ILLEGAL_COMMAND",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D50,ACTIVE_INPUT,RO,0xFFFFFFFF,32,ACTIVE_INPUT,31:0,snapshot selected live0..3; synthetic/unrouted ffffffff,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D54,LOCK_STATUS,RO,0x00000000,32,LOCK_STATUS,31:0,"snapshot bits0present,1AGC,2CLAMP,3H,4format eligible,5stable,6frame qualified,7sample valid; upper zero",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D58,INPUT_PRESENT_BITMAP,RO,0x00000000,32,INPUT_PRESENT_BITMAP,31:0,snapshot lower4; consult input status validity,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D5C,INPUT_LOCK_BITMAP,RO,0x00000000,32,INPUT_LOCK_BITMAP,31:0,"snapshot lower4 AND(AGC,CLAMP,H); consult validity",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D60,INPUT_FORMAT_STATUS,RO,0x00000000,32,INPUT_FORMAT_STATUS,31:0,"snapshot four bytes:0UNKNOWN,1NO_SIGNAL,2AHD1080P25,3OTHER_SUPPORTED_CLASSIFIER_CODE,4UNSTABLE,5STATUS_ERROR; low byte input0",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D64,INPUT_STATUS_VALID_BITMAP,RO,0x00000000,32,INPUT_STATUS_VALID_BITMAP,31:0,snapshot lower4 recent complete NVP samples; stale bits0,ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
0x3D68,NVP_INIT_STATUS,RO,0x00000000,32,NVP_INIT_STATUS,31:0,"snapshot bits0busy,1done,2error; upper zero",ALL,No write side effect; ILLEGAL_COMMAND on RO/invalid/unaligned write
