"Profile","RowID","DestinationPin","DestinationCell","ExpectedDestinationClock","ResolvedDestinationClocks","ReportRepresentative","ReportRepresentativeCell","RepresentativeInStartpoints","PhysicalStartpointCount","FullConeCellCount","CrossClockStartpointCount","SameClockStartpointCount","StaticStartpointCount","DiagnosticHierarchyConeCellCount"
"product","CDC1-CHG-0037","G2B_ONECH_C2H/global_stream_next_axi_reg[29]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[29]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0038","G2B_ONECH_C2H/global_stream_next_axi_reg[2]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[2]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0039","G2B_ONECH_C2H/global_stream_next_axi_reg[30]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[30]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0040","G2B_ONECH_C2H/global_stream_next_axi_reg[31]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[31]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0041","G2B_ONECH_C2H/global_stream_next_axi_reg[3]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[3]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0042","G2B_ONECH_C2H/global_stream_next_axi_reg[4]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[4]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0043","G2B_ONECH_C2H/global_stream_next_axi_reg[5]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[5]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0044","G2B_ONECH_C2H/global_stream_next_axi_reg[6]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[6]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0045","G2B_ONECH_C2H/global_stream_next_axi_reg[7]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[7]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0046","G2B_ONECH_C2H/global_stream_next_axi_reg[8]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[8]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0047","G2B_ONECH_C2H/global_stream_next_axi_reg[9]/CE","G2B_ONECH_C2H/global_stream_next_axi_reg[9]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0048","G2B_ONECH_C2H/last_channel_axi_reg[0]/CE","G2B_ONECH_C2H/last_channel_axi_reg[0]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0049","G2B_ONECH_C2H/last_channel_axi_reg[10]/CE","G2B_ONECH_C2H/last_channel_axi_reg[10]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0050","G2B_ONECH_C2H/last_channel_axi_reg[11]/CE","G2B_ONECH_C2H/last_channel_axi_reg[11]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0051","G2B_ONECH_C2H/last_channel_axi_reg[12]/CE","G2B_ONECH_C2H/last_channel_axi_reg[12]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0052","G2B_ONECH_C2H/last_channel_axi_reg[13]/CE","G2B_ONECH_C2H/last_channel_axi_reg[13]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0053","G2B_ONECH_C2H/last_channel_axi_reg[14]/CE","G2B_ONECH_C2H/last_channel_axi_reg[14]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0054","G2B_ONECH_C2H/last_channel_axi_reg[15]/CE","G2B_ONECH_C2H/last_channel_axi_reg[15]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0055","G2B_ONECH_C2H/last_channel_axi_reg[16]/CE","G2B_ONECH_C2H/last_channel_axi_reg[16]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0056","G2B_ONECH_C2H/last_channel_axi_reg[17]/CE","G2B_ONECH_C2H/last_channel_axi_reg[17]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0057","G2B_ONECH_C2H/last_channel_axi_reg[18]/CE","G2B_ONECH_C2H/last_channel_axi_reg[18]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0058","G2B_ONECH_C2H/last_channel_axi_reg[19]/CE","G2B_ONECH_C2H/last_channel_axi_reg[19]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0059","G2B_ONECH_C2H/last_channel_axi_reg[1]/CE","G2B_ONECH_C2H/last_channel_axi_reg[1]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0060","G2B_ONECH_C2H/last_channel_axi_reg[20]/CE","G2B_ONECH_C2H/last_channel_axi_reg[20]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0061","G2B_ONECH_C2H/last_channel_axi_reg[21]/CE","G2B_ONECH_C2H/last_channel_axi_reg[21]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0062","G2B_ONECH_C2H/last_channel_axi_reg[22]/CE","G2B_ONECH_C2H/last_channel_axi_reg[22]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0063","G2B_ONECH_C2H/last_channel_axi_reg[23]/CE","G2B_ONECH_C2H/last_channel_axi_reg[23]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0064","G2B_ONECH_C2H/last_channel_axi_reg[24]/CE","G2B_ONECH_C2H/last_channel_axi_reg[24]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0065","G2B_ONECH_C2H/last_channel_axi_reg[25]/CE","G2B_ONECH_C2H/last_channel_axi_reg[25]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0066","G2B_ONECH_C2H/last_channel_axi_reg[26]/CE","G2B_ONECH_C2H/last_channel_axi_reg[26]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0067","G2B_ONECH_C2H/last_channel_axi_reg[27]/CE","G2B_ONECH_C2H/last_channel_axi_reg[27]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0068","G2B_ONECH_C2H/last_channel_axi_reg[28]/CE","G2B_ONECH_C2H/last_channel_axi_reg[28]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0069","G2B_ONECH_C2H/last_channel_axi_reg[29]/CE","G2B_ONECH_C2H/last_channel_axi_reg[29]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0070","G2B_ONECH_C2H/last_channel_axi_reg[2]/CE","G2B_ONECH_C2H/last_channel_axi_reg[2]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0071","G2B_ONECH_C2H/last_channel_axi_reg[30]/CE","G2B_ONECH_C2H/last_channel_axi_reg[30]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0072","G2B_ONECH_C2H/last_channel_axi_reg[31]/CE","G2B_ONECH_C2H/last_channel_axi_reg[31]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0073","G2B_ONECH_C2H/last_channel_axi_reg[3]/CE","G2B_ONECH_C2H/last_channel_axi_reg[3]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0074","G2B_ONECH_C2H/last_channel_axi_reg[4]/CE","G2B_ONECH_C2H/last_channel_axi_reg[4]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0075","G2B_ONECH_C2H/last_channel_axi_reg[5]/CE","G2B_ONECH_C2H/last_channel_axi_reg[5]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0076","G2B_ONECH_C2H/last_channel_axi_reg[6]/CE","G2B_ONECH_C2H/last_channel_axi_reg[6]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0077","G2B_ONECH_C2H/last_channel_axi_reg[7]/CE","G2B_ONECH_C2H/last_channel_axi_reg[7]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0078","G2B_ONECH_C2H/last_channel_axi_reg[8]/CE","G2B_ONECH_C2H/last_channel_axi_reg[8]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0079","G2B_ONECH_C2H/last_channel_axi_reg[9]/CE","G2B_ONECH_C2H/last_channel_axi_reg[9]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0080","G2B_ONECH_C2H/last_global_axi_reg[0]/CE","G2B_ONECH_C2H/last_global_axi_reg[0]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
"product","CDC1-CHG-0081","G2B_ONECH_C2H/last_global_axi_reg[10]/CE","G2B_ONECH_C2H/last_global_axi_reg[10]","userclk1","userclk1","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C","G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]","YES","27","36","4","23","0","0"
