PIN	SITE	IOBANK	PIN_FUNC	IS_CLK_CAPABLE	IS_GLOBAL_CLK	IS_CONFIG_PIN	IS_USER_ACCESSIBLE
U2	IOB_X1Y20	34	IO_L15P_T2_DQS_34	0	0		
U3			GND	0	0		
U4	IOB_X1Y14	34	IO_L18P_T2_34	0	0		
U5	IOB_X1Y9	34	IO_L20N_T3_34	0	0		
U6	IOB_X1Y10	34	IO_L20P_T3_34	0	0		
U7	IOB_X1Y4	34	IO_L23P_T3_34	0	0		
U8		14	VCCO_14	0	0		
U9	IOB_X0Y2	14	IO_L24P_T3_A01_D17_14	0	0		
U10	IOB_X0Y0	14	IO_25_14	0	0		
U11	IOB_X0Y4	14	IO_L23P_T3_A03_D19_14	0	0		
U12	IOB_X0Y5	14	IO_L22N_T3_A04_D20_14	0	0		
U13			GND	0	0		
U14	IOB_X0Y10	14	IO_L20P_T3_A08_D24_14	0	0		
U15	IOB_X0Y16	14	IO_L17P_T2_A14_D30_14	0	0		
U16	IOB_X0Y15	14	IO_L17N_T2_A13_D29_14	0	0		
U17	IOB_X0Y17	14	IO_L16N_T2_A15_D31_14	0	0		
U18		14	VCCO_14	0	0		
V1			GND	0	0		
V2	IOB_X1Y17	34	IO_L16N_T2_34	0	0		
V3	IOB_X1Y18	34	IO_L16P_T2_34	0	0		
V4	IOB_X1Y13	34	IO_L18N_T2_34	0	0		
V5		34	VCCO_34	0	0		
V6	IOB_X1Y3	34	IO_L23N_T3_34	0	0		
V7	IOB_X1Y1	34	IO_L24N_T3_34	0	0		
V8	IOB_X1Y2	34	IO_L24P_T3_34	0	0		
V9	IOB_X0Y1	14	IO_L24N_T3_A00_D16_14	0	0		
V10			GND	0	0		
V11	IOB_X0Y3	14	IO_L23N_T3_A02_D18_14	0	0		
V12	IOB_X0Y8	14	IO_L21P_T3_DQS_14	0	0		
V13	IOB_X0Y7	14	IO_L21N_T3_DQS_A06_D22_14	0	0		
V14	IOB_X0Y9	14	IO_L20N_T3_A07_D23_14	0	0		
V15		14	VCCO_14	0	0		
V16	IOB_X0Y14	14	IO_L18P_T2_A12_D28_14	0	0		
V17	IOB_X0Y13	14	IO_L18N_T2_A11_D27_14	0	0		
V18			GND	0	0		
