comparison_item,our_active_path_and_condition,reference_path_and_condition,channel_or_port,bank,register,our_order_value_delay,reference_order_value_delay,match_or_difference,provenance,applicability,causal_relevance,disposition
MAREK_STAGE2_SLOT_028,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,00,slot=28;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/2;video.c:3396;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:261;video.c:3396,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_029,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,01,slot=29;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/2;video.c:3397;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:262;video.c:3397,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_030,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,58,slot=30;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/3;video.c:3398;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:263;video.c:3398,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_031,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,59,slot=31;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/3;video.c:3399;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:264;video.c:3399,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_032,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,5B,slot=32;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3400;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:265;video.c:3400,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_045,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,69,slot=45;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3401;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:278;video.c:3401,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_046,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,47,slot=46;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3485;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:279;video.c:3485,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_047,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,50,slot=47;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3486;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:280;video.c:3486,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_048,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,84,slot=48;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3517;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:281;video.c:3517,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_049,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,86,slot=49;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3518;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:282;video.c:3518,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_050,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,D1,slot=50;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:3429;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:283;video.c:3429,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_051,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,57,slot=51;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3425;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:284;video.c:3425,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_052,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,90,slot=52;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:3427;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:285;video.c:3427,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_053,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,08,slot=53;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/1;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,NO_COMPARABLE_STEP,nvp6134c_diagnostics_pkg.vhd:286;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_054,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,11,slot=54;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/1;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,NO_COMPARABLE_STEP,nvp6134c_diagnostics_pkg.vhd:287;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_055,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,1B,slot=55;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:3419;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:288;video.c:3419,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_056,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,24,slot=56;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3508;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:289;video.c:3508,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_057,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,25,slot=57;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3509;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:290;video.c:3509,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_058,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,26,slot=58;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:3421;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:291;video.c:3421,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
