public_path,original_controller_sha256,disposition,role
tools/seal_remote_r3_artifacts.sh,FE0614E24C2D625B163D83A4A5978E063FB890F2E4E6F36F9207F5E4E1EE272D,EXECUTED_POST_LOCK_FILESYSTEM_ONLY,dut_artifact_sealer
tools/publish_and_run_remote_sealer.ps1,5104F49FAC20860C15E1CFAFE84CABBD22CD3F760E079E03328B6DD362954500,EXECUTED_POST_LOCK_FILESYSTEM_ONLY,dut_artifact_sealer_wrapper
CONTROLLER_ONLY_NOT_PUBLISHED:Invoke-G2BR3Plink.ps1,A6A4111716D7AE72A426111EB7D83DC49A4EF75682F0B9EF7282095E5C9157FB,EXECUTED_EXCLUDED_CREDENTIAL_PROTECTION,connection_helper
CONTROLLER_ONLY_NOT_PUBLISHED:Invoke-G2BR3Plink_proven.ps1,A4D6350ED2D65E2E396AC54F1D0D49E1360A90AE8AFD5C72902D5DCA3E518280,EXECUTED_EXCLUDED_CREDENTIAL_PROTECTION,connection_helper
CONTROLLER_ONLY_NOT_PUBLISHED:prior_R1_Invoke-G2BR1Plink.ps1,274DB6DDB1D3CDEAB0578275BABAEBFAA70DFCADC3F1FF35E717CACFED8119C0,EXECUTED_EXCLUDED_CAUSED_BOUNDARY_FAIL,prior_r1_connection_helper
tools/historical/r2_jtag_final_state_session.tcl,E11A7E16B5B73A952CA8F4112AA844183A014D1196A92A74ECE0E22288E0B1DF,EXECUTED_SUPERSEDED,prior_r2_jtag_dependency
tools/unexecuted/r3_mmio.c,71F6F43AB8EDF99E0A75A8CE042992BABDCBD6315405C7231343FAFB7A9B1B64,UNEXECUTED_NOT_REACHED,mmio_tool
tools/unexecuted/r3_c2h_qualify.py,32ABFA2BF39ADE369AC7E1440E2E008B18B71C9A2E9E5101C42EF0D5D65A6109,UNEXECUTED_NOT_REACHED,c2h_parser_capture_tool
CONTROLLER_ONLY_NOT_PUBLISHED:t1_exact_module_load_probe.sh,13455087AFA5289CA2E7AD47782E795A93E1DBC7B4D0B0ABC8EB70882F1A9C6C,UNEXECUTED_EXCLUDED_UNSAFE_DRAFT,unsafe_t1_draft
CONTROLLER_ONLY_NOT_PUBLISHED:publish_t1_tool_to_dut.ps1,E1F863346869C152C983A3C58885E3F8D4C2F2D62BF68098BF4F39B30D7958D4,UNEXECUTED_EXCLUDED_UNSAFE_DRAFT,unsafe_t1_publisher
CONTROLLER_ONLY_NOT_PUBLISHED:run_t1_exact_module_load_probe.ps1,F7FF4D85A14384A7A04C92F1BEE695A072B3136E0BA721FFA9A184FA86ADDAB2,UNEXECUTED_EXCLUDED_UNSAFE_DRAFT,unsafe_t1_runner
tools/publication/build_public_manifest_r3.py,72E2D3D29759DFB1515909ECAABBAF3B5AB21C96ABDA6C7B86CC9CD9F51BFDA2,EXECUTED_PUBLICATION_TOOL,public_package_validator
tools/publication/remote_readback_r3.py,B077A25C5D50A53F56B76ED8DCE23733BD92AF8EC316708D69E776E0E2F4A18F,PLANNED_PUBLICATION_TOOL,commit_pinned_remote_readback
